Автобус №75;Четвер 28 травня 2026. Діє з 26.02.2026.
Станція метро «Виставковий центр» - Вулиця Григорія Гуляницького
№ випуску;Станція метро «Виставковий центр»;Жуляни-2;Вулиця Григорія Гуляницького
1;06:40;06:53;07:00
1;07:40;07:53;08:00
1;08:40;08:53;09:00
1;10:14;10:27;10:34
1;11:48;12:01;12:08
1;12:48;13:01;13:08
1;13:48;14:01;14:08
1;14:48;15:01;15:08
1;16:05;16:18;16:25
1;17:30;17:43;17:50
1;18:30;18:43;18:50
1;19:30;19:43;19:50
1;20:30;20:42;20:49
Вулиця Григорія Гуляницького - Станція метро «Виставковий центр»
№ випуску;Вулиця Григорія Гуляницького;Жуляни-2;Станція метро «Виставковий центр»
1;06:00;06:21;06:35
1;07:02;07:23;07:37
1;08:02;08:23;08:37
1;09:02;09:23;09:37
1;10:36;10:57;11:11
1;12:10;12:31;12:45
1;13:10;13:31;13:45
1;14:10;14:31;14:45
1;15:10;15:31;15:45
1;16:27;16:48;17:02
1;17:52;18:13;18:27
1;18:52;19:13;19:27
1;19:52;20:13;20:27
1;20:50;21:11;21:25
