Автобус №81;Четвер 28 травня 2026. Діє з 04.03.2026.
Станція метро «Лісова» - масив Лісовий
№ випуску;Станція метро «Лісова»;Лікарня;масив Лісовий
1;06:20;06:27;06:30
1;06:52;06:59;07:02
2;07:08;07:15;07:18
1;07:24;07:31;07:34
2;07:40;07:47;07:50
1;07:56;08:03;08:06
2;08:12;08:19;08:22
1;08:28;08:35;08:38
2;08:44;08:51;08:54
1;09:00;09:07;09:10
2;09:16;09:23;09:26
2;09:48;09:55;09:58
1;10:20;10:27;10:30
1;10:52;10:59;11:02
1;11:24;11:31;11:34
1;11:56;12:03;12:06
1;12:28;12:35;12:38
1;13:00;13:07;13:10
1;13:32;13:39;13:42
1;14:04;14:11;14:14
1;14:36;14:43;14:46
1;15:08;15:15;15:18
1;15:40;15:47;15:50
1;16:12;16:19;16:22
2;16:28;16:35;16:38
2;17:00;17:07;17:10
1;17:16;17:23;17:26
2;17:32;17:39;17:42
1;17:48;17:55;17:58
2;18:04;18:11;18:14
1;18:20;18:27;18:30
2;18:36;18:43;18:46
1;18:52;18:59;19:02
2;19:08;19:15;19:18
1;19:24;19:31;19:34
2;19:40;19:47;19:50
1;20:12;20:19;20:22
1;20:44;20:51;20:54
1;21:16;21:23;21:26
1;21:48;21:55;21:58
1;22:20;22:27;22:30
масив Лісовий - Станція метро «Лісова»
№ випуску;масив Лісовий;вул. Космонавта Поповича;Станція метро «Лісова»
1;06:00;06:05;06:18
1;06:31;06:36;06:50
2;06:47;06:52;07:06
1;07:03;07:08;07:22
2;07:19;07:24;07:38
1;07:35;07:40;07:54
2;07:51;07:56;08:10
1;08:07;08:12;08:26
2;08:23;08:28;08:42
1;08:39;08:44;08:58
2;08:55;09:00;09:14
1;09:11;09:16;09:30
2;09:27;09:32;09:46
2;09:59;10:04;10:18
1;10:31;10:36;10:50
1;11:03;11:08;11:22
1;11:35;11:40;11:54
1;12:07;12:12;12:26
1;12:39;12:44;12:58
1;13:11;13:16;13:30
1;13:43;13:48;14:02
1;14:15;14:20;14:34
1;14:47;14:52;15:06
1;15:19;15:24;15:38
1;15:51;15:56;16:10
1;16:23;16:28;16:42
2;16:39;16:44;16:58
2;17:11;17:16;17:30
1;17:27;17:32;17:46
2;17:43;17:48;18:02
1;17:59;18:04;18:18
2;18:15;18:20;18:34
1;18:31;18:36;18:50
2;18:47;18:52;19:06
1;19:03;19:08;19:22
2;19:19;19:24;19:38
1;19:35;19:40;19:54
2;19:51;19:56;20:10
1;20:23;20:28;20:42
1;20:55;21:00;21:14
1;21:27;21:32;21:46
1;21:59;22:04;22:18
1;22:35;22:40;22:54
