Автобус №9;Четвер 28 травня 2026. Діє з 27.04.2026.
Вулиця Вахтанга Кікабідзе - Станція метро «Лук’янівська»
№ випуску;Вулиця Вахтанга Кікабідзе;Вулиця Чумака;Станція метро «Берестейська»;Станція метро «Лук’янівська»
1;06:00;06:23;06:32;06:49
2;06:34;06:57;07:06;07:24
3;07:08;07:32;07:42;08:00
1;07:44;08:09;08:19;08:37
2;08:20;08:45;08:55;09:13
3;09:20;09:45;09:55;10:13
1;10:20;10:45;10:55;11:13
3;11:20;11:45;11:55;12:13
1;12:15;12:40;12:50;13:08
3;13:10;13:35;13:45;14:03
1;14:05;14:30;14:40;14:58
3;15:00;15:25;15:35;15:53
1;15:55;16:20;16:30;16:48
2;16:31;16:56;17:06;17:24
3;17:07;17:32;17:42;18:00
1;17:43;18:08;18:18;18:36
2;18:20;18:45;18:55;19:13
3;19:17;19:42;19:52;20:10
1;20:14;20:39;20:49;21:07
3;21:06;21:30;21:40;21:57
1;21:55;22:18;22:27;22:44
Станція метро «Лук’янівська» - Вулиця Вахтанга Кікабідзе
№ випуску;Станція метро «Лук’янівська»;Станція метро «Берестейська»;Відрадний ринок;Вулиця Вахтанга Кікабідзе
1;06:52;07:06;07:17;07:41
2;07:26;07:41;07:52;08:17
3;08:02;08:16;08:27;08:50
1;08:39;08:54;09:05;09:30
2;09:16;09:31;09:42;10:06
3;10:15;10:30;10:41;11:05
1;11:16;11:31;11:42;12:07
3;12:16;12:31;12:42;13:06
1;13:11;13:26;13:37;14:01
3;14:06;14:21;14:32;14:56
1;15:01;15:16;15:27;15:51
3;15:56;16:11;16:22;16:46
1;16:51;17:06;17:17;17:41
2;17:27;17:42;17:53;18:17
3;18:03;18:18;18:29;18:53
1;18:39;18:54;19:05;19:29
2;19:16;19:31;19:42;20:06
3;20:13;20:28;20:39;21:03
1;21:10;21:23;21:32;21:54
3;22:10;22:24;22:34;22:57
