Автобус №90;Четвер 28 травня 2026. Діє з 23.04.2026.
Площа Валерія Марченка - Вулиця Григоровича-Барського
№ випуску;Площа Валерія Марченка;Станція метро «Святошин»;Вулиця Олександра Махова;Вулиця Григоровича-Барського
3;06:00;06:13;06:43;06:44
1;06:30;06:43;07:13;07:14
2;07:05;07:18;07:48;07:49
3;07:35;07:48;08:18;08:19
1;08:05;08:18;08:48;08:49
2;08:40;08:53;09:23;09:24
3;09:25;09:38;10:08;10:09
2;10:15;10:28;10:58;10:59
1;10:40;10:53;11:23;11:24
3;11:30;11:43;12:13;12:14
1;12:15;12:28;12:58;12:59
3;13:05;13:18;13:48;13:49
1;13:50;14:03;14:33;14:34
3;14:40;14:53;15:23;15:24
1;15:25;15:38;16:08;16:09
2;16:00;16:13;16:43;16:44
3;16:35;16:48;17:18;17:19
1;17:20;17:33;18:03;18:04
2;18:10;18:23;18:53;18:54
3;18:45;18:58;19:28;19:29
1;19:35;19:48;20:18;20:19
3;20:20;20:33;21:03;21:04
1;21:10;21:23;21:53;21:54
3;21:55;22:08;22:38;22:39
Вулиця Григоровича-Барського - Площа Валерія Марченка
№ випуску;Вулиця Григоровича-Барського;Вулиця Литвиненка-Вольгемут;Станція метро «Святошин»;Площа Валерія Марченка (висадка);Площа Валерія Марченка
3;06:45;06:52;07:14;07:31;07:33
1;07:15;07:22;07:43;08:00;08:03
2;07:50;07:57;08:18;08:35;08:38
3;08:20;08:27;08:48;09:05;09:23
1;08:50;08:57;09:18;09:35;10:38
2;09:25;09:32;09:53;10:10;10:13
3;10:10;10:17;10:38;10:55;11:28
2;11:00;11:07;11:28;11:45;—
1;11:25;11:32;11:53;12:10;12:13
3;12:15;12:22;12:43;13:00;13:03
1;13:00;13:07;13:28;13:45;13:48
3;13:50;13:57;14:18;14:35;14:38
1;14:35;14:42;15:03;15:20;15:23
3;15:25;15:32;15:53;16:10;16:33
1;16:10;16:17;16:38;16:55;17:18
2;16:45;16:52;17:13;17:30;18:08
3;17:20;17:27;17:48;18:05;18:43
1;18:05;18:12;18:33;18:50;19:33
2;18:55;19:02;19:23;19:40;—
3;19:30;19:37;19:58;20:15;20:18
1;20:20;20:27;20:48;21:05;21:08
3;21:05;21:12;21:33;21:50;21:53
1;21:55;22:02;22:23;22:40;—
3;22:40;22:47;23:08;23:25;—
