Автобус №90к;Четвер 28 травня 2026. Діє з 23.04.2026.
Площа Валерія Марченка - Станція метро «Святошин»
№ випуску;Площа Валерія Марченка;Станція метро «Святошин»;Станція метро «Святошин»
1;06:12;06:25;06:29
1;06:52;07:05;07:08
1;07:50;08:03;08:07
1;08:29;08:40;08:43
1;09:10;09:23;09:27
1;09:50;10:03;10:07
1;10:30;10:43;10:47
1;11:47;12:00;12:04
1;12:30;12:43;12:47
1;13:20;13:33;13:37
1;14:05;14:18;14:22
1;14:50;15:03;15:07
1;16:05;16:17;16:21
1;16:43;16:55;16:59
1;17:22;17:35;17:39
1;18:02;18:15;18:19
1;19:00;19:13;19:17
1;19:45;19:58;20:02
1;20:25;20:38;20:42
1;21:05;21:18;21:22
1;21:45;21:58;22:03
Станція метро «Святошин» - Площа Валерія Марченка
№ випуску;Станція метро «Святошин»;Площа Валерія Марченка (висадка);Площа Валерія Марченка
1;06:30;06:47;06:50
1;07:09;07:27;07:49
1;08:08;08:24;08:27
1;08:44;09:04;09:07
1;09:28;09:45;09:48
1;10:08;10:24;10:27
1;10:48;11:05;11:45
1;12:05;12:22;12:25
1;12:48;13:05;13:08
1;13:38;13:55;13:58
1;14:23;14:40;14:43
1;15:08;15:25;16:03
1;16:22;16:39;16:42
1;17:00;17:17;17:20
1;17:40;17:57;18:00
1;18:20;18:37;18:58
1;19:18;19:35;19:40
1;20:03;20:20;20:23
1;20:43;21:00;21:03
1;21:23;21:40;21:43
1;22:05;22:20;—
