Автобус №91;Четвер 28 травня 2026. Діє з 27.04.2026.
Станція метро «Голосіївська» - Вулиця А. Ахматової
№ випуску;Станція метро «Голосіївська»;Проспект Науки;Станція метро «Славутич»;Вулиця А. Ахматової
1;06:35;06:41;06:54;07:09
2;06:59;07:05;07:18;07:33
3;07:22;07:28;07:41;07:56
1;07:45;07:51;08:04;08:19
2;08:15;08:21;08:34;08:49
3;08:45;08:51;09:04;09:19
2;09:25;09:31;09:44;09:59
1;09:35;09:41;09:54;10:09
3;10:25;10:31;10:44;10:59
1;11:00;11:06;11:19;11:34
3;11:35;11:41;11:54;12:09
1;12:10;12:16;12:29;12:44
3;12:45;12:51;13:04;13:19
1;13:20;13:26;13:39;13:54
3;13:55;14:01;14:14;14:29
1;14:30;14:36;14:49;15:04
3;15:05;15:11;15:24;15:39
1;15:40;15:46;15:59;16:14
3;16:15;16:21;16:34;16:49
1;16:50;16:56;17:09;17:24
2;17:20;17:26;17:39;17:54
3;17:50;17:56;18:09;18:24
1;18:15;18:21;18:34;18:49
2;18:40;18:46;18:59;19:14
3;19:20;19:26;19:39;19:54
2;19:50;19:56;20:09;20:24
1;20:00;20:06;20:19;20:34
3;20:35;20:41;20:54;21:09
1;21:10;21:16;21:29;21:44
3;21:45;21:51;22:04;22:19
1;22:20;22:26;22:39;22:54
3;22:55;23:01;23:14;23:29
Вулиця А. Ахматової - Станція метро «Голосіївська»
№ випуску;Вулиця А. Ахматової;Станція метро «Славутич»;Деміївська площа;Станція метро «Голосіївська»
1;06:00;06:12;06:24;06:34
2;06:24;06:36;06:48;06:58
3;06:47;06:59;07:11;07:21
1;07:10;07:22;07:34;07:44
2;07:34;07:46;07:58;08:08
3;07:57;08:09;08:21;08:30
1;08:20;08:32;08:44;08:54
2;08:50;09:02;09:14;09:24
3;09:20;09:32;09:44;09:54
1;10:10;10:22;10:34;10:44
3;11:00;11:12;11:24;11:34
1;11:35;11:47;11:59;12:09
3;12:10;12:22;12:34;12:44
1;12:45;12:57;13:09;13:19
3;13:20;13:32;13:44;13:54
1;13:55;14:07;14:19;14:29
3;14:30;14:42;14:54;15:04
1;15:05;15:17;15:29;15:39
3;15:40;15:52;16:04;16:14
1;16:15;16:27;16:39;16:49
2;16:33;16:45;16:57;17:07
3;16:50;17:02;17:14;17:24
1;17:25;17:37;17:49;17:59
2;17:55;18:07;18:19;18:29
3;18:25;18:37;18:49;18:59
1;18:50;19:02;19:14;19:24
2;19:15;19:27;19:39;19:49
3;19:55;20:07;20:19;20:29
1;20:35;20:47;20:59;21:09
3;21:10;21:22;21:34;21:44
1;21:45;21:57;22:09;22:19
3;22:20;22:32;22:44;22:54
