Автобус №95;Четвер 28 травня 2026. Діє з 06.04.2026. Зміна розкладу з 01.06.2026.
Русанівські сади - Ст. міської електрички «Березняки»
№ випуску;Русанівські сади;Микільська Слобідка;Вулиця Митрополита А. Шептицького;Станція метро «Лівобережна»;Ст. міської електрички «Березняки»
1;06:40;06:49;06:54;06:58;07:11
2;07:04;07:13;07:18;07:22;07:35
3;07:27;07:36;07:41;07:45;07:58
1;07:47;07:56;08:01;08:05;08:18
2;08:12;08:21;08:26;08:30;08:43
3;08:37;08:46;08:51;08:55;09:08
1;09:20;09:29;09:34;09:38;09:51
3;09:50;09:59;10:04;10:08;10:21
2;10:10;10:19;10:24;10:28;10:41
1;10:45;10:54;10:59;11:03;11:16
2;11:20;11:29;11:34;11:38;11:51
1;11:55;12:04;12:09;12:13;12:26
2;12:32;12:41;12:46;12:50;13:03
1;13:04;13:13;13:18;13:22;13:35
2;13:42;13:51;13:56;14:00;14:13
1;14:12;14:21;14:26;14:30;14:43
2;14:50;14:59;15:04;15:08;15:21
1;15:25;15:34;15:39;15:43;15:56
2;16:02;16:11;16:16;16:20;16:33
1;16:35;16:44;16:49;16:53;17:06
3;17:06;17:15;17:20;17:24;17:37
2;17:31;17:40;17:45;17:49;18:02
1;17:57;18:06;18:11;18:15;18:28
3;18:20;18:29;18:34;18:38;18:51
2;18:57;19:06;19:11;19:15;19:28
1;19:30;19:39;19:44;19:48;20:01
3;19:40;19:49;19:54;19:58;20:11
2;20:05;20:14;20:19;20:23;20:36
1;20:37;20:46;20:51;20:55;21:08
2;21:15;21:24;21:29;21:33;21:46
1;21:44;21:53;21:58;22:02;22:15
2;22:22;22:31;22:36;22:40;22:53
1;22:50;22:59;23:04;23:08;23:21
Ст. міської електрички «Березняки» - Русанівські сади
№ випуску;Ст. міської електрички «Березняки»;Станція метро «Лівобережна»;Вулиця Митрополита А. Шептицького;Микільська Слобідка;Русанівські сади
1;06:00;06:17;06:21;06:24;06:33
2;06:25;06:42;06:46;06:49;06:58
3;06:49;07:06;07:10;07:13;07:22
1;07:12;07:29;07:33;07:36;07:45
2;07:36;07:53;07:57;08:00;08:09
3;07:59;08:16;08:20;08:23;08:32
1;08:19;08:36;08:40;08:43;08:52
2;08:44;09:01;09:05;09:08;09:17
3;09:09;09:26;09:30;09:33;09:42
1;09:52;10:09;10:13;10:16;10:25
2;10:42;10:59;11:03;11:06;11:15
1;11:17;11:34;11:38;11:41;11:50
2;11:52;12:09;12:13;12:16;12:25
1;12:27;12:44;12:48;12:51;13:00
2;13:04;13:21;13:25;13:28;13:37
1;13:36;13:53;13:57;14:00;14:09
2;14:14;14:31;14:35;14:38;14:47
1;14:44;15:01;15:05;15:08;15:17
2;15:22;15:39;15:43;15:46;15:55
1;15:57;16:14;16:18;16:21;16:30
3;16:22;16:39;16:43;16:46;16:55
2;16:34;16:51;16:55;16:58;17:07
1;17:07;17:24;17:28;17:31;17:40
3;17:38;17:55;17:59;18:02;18:11
2;18:03;18:20;18:24;18:27;18:36
1;18:29;18:46;18:50;18:53;19:02
3;18:52;19:09;19:13;19:16;19:25
2;19:29;19:46;19:50;19:53;20:02
1;20:02;20:19;20:23;20:26;20:35
2;20:37;20:54;20:58;21:01;21:10
1;21:09;21:26;21:30;21:33;21:42
2;21:47;22:04;22:08;22:11;22:20
1;22:16;22:33;22:37;22:40;22:48
2;22:55;23:12;23:16;23:19;23:28
