Автобус №97;Четвер 28 травня 2026. Діє з 26.02.2026.
Станція метро «Святошин» - масив Новобіличі (ринок)
№ випуску;Станція метро «Святошин»;Станція метро «Академмістечко»;Вулиця Клавдіївська;масив Новобіличі (ринок)
1;07:00;07:10;07:20;07:28
2;07:35;07:45;07:55;08:03
1;08:10;08:20;08:30;08:38
2;08:50;09:00;09:10;09:18
1;09:45;09:55;10:05;10:13
2;10:25;10:35;10:45;10:53
1;11:05;11:15;11:25;11:33
2;11:47;11:57;12:07;12:14
1;12:22;12:32;12:42;12:49
2;12:57;13:07;13:17;13:24
1;13:30;13:39;13:49;13:57
2;14:03;14:13;14:23;14:31
1;14:38;14:48;14:58;15:07
2;15:14;15:24;15:34;15:43
1;15:50;16:00;16:10;16:18
2;16:25;16:35;16:45;16:53
1;17:05;17:15;17:25;17:33
2;17:50;18:00;18:10;18:18
1;18:30;18:40;18:50;18:58
2;19:10;19:20;19:30;19:38
1;20:00;20:10;20:20;20:28
2;20:40;20:50;21:00;21:08
1;21:15;21:25;21:35;21:43
2;21:50;22:00;22:10;22:18
1;22:30;22:40;22:50;22:58
масив Новобіличі (ринок) - Станція метро «Святошин»
№ випуску;масив Новобіличі (ринок);Вулиця Клавдіївська;Станція метро «Академмістечко»;Станція метро «Святошин»
1;06:20;06:31;06:42;06:55
2;06:55;07:06;07:17;07:30
1;07:30;07:41;07:52;08:05
2;08:05;08:17;08:29;08:42
1;08:40;08:51;09:02;09:15
2;09:20;09:31;09:42;09:55
1;10:15;10:26;10:37;10:50
2;10:55;11:06;11:17;11:30
1;11:40;11:51;12:02;12:15
2;12:15;12:26;12:37;12:50
1;12:50;13:01;13:12;13:25
2;13:25;13:36;13:47;14:00
1;14:00;14:11;14:22;14:35
2;14:35;14:46;14:57;15:10
1;15:10;15:21;15:32;15:45
2;15:45;15:56;16:07;16:20
1;16:20;16:31;16:42;16:55
2;16:55;17:06;17:17;17:30
1;17:35;17:46;17:57;18:10
2;18:20;18:31;18:42;18:55
1;19:00;19:11;19:22;19:35
2;19:40;19:51;20:02;20:15
1;20:30;20:41;20:52;21:05
2;21:10;21:21;21:32;21:45
1;21:45;21:56;22:07;22:20
2;22:20;22:31;22:42;22:55
