Автобус №97к;Четвер 28 травня 2026. Діє з 26.02.2026. Зміна розкладу з 01.06.2026.
Вулиця Чорнобильська - масив Новобіличі (ринок)
№ випуску;Вулиця Чорнобильська;Станція метро «Академмістечко»;масив Новобіличі (ринок)
1;06:30;06:40;06:55
2;06:57;07:07;07:23
1;07:28;07:38;07:53
2;07:53;08:03;08:18
1;08:23;08:33;08:48
2;08:47;08:57;09:13
1;09:29;09:39;09:54
2;10:09;10:19;10:34
1;10:50;11:00;11:14
2;11:15;11:25;11:40
1;11:43;11:53;12:08
2;12:13;12:23;12:38
1;12:38;12:48;13:03
2;13:08;13:18;13:33
1;13:33;13:44;13:59
2;14:02;14:11;14:27
1;14:33;14:43;14:58
2;14:58;15:08;15:23
1;15:28;15:38;15:53
2;15:53;16:04;16:19
1;16:22;16:32;16:48
2;16:54;17:04;17:19
1;17:35;17:45;17:59
2;18:15;18:25;18:39
1;18:50;19:00;19:15
2;19:20;19:30;19:45
1;19:44;19:54;20:09
2;20:14;20:24;20:39
1;20:38;20:48;21:04
2;21:10;21:20;21:34
масив Новобіличі (ринок) - Вулиця Чорнобильська
№ випуску;масив Новобіличі (ринок);Станція метро «Академмістечко»;Вулиця Чорнобильська
1;06:00;06:15;06:25
2;06:30;06:45;06:55
1;07:00;07:15;07:25
2;07:25;07:40;07:50
1;07:55;08:10;08:20
2;08:19;08:34;08:44
1;08:49;09:04;09:14
2;09:14;09:29;09:39
1;09:55;10:10;10:20
2;10:35;10:50;11:00
1;11:15;11:30;11:40
2;11:45;12:00;12:10
1;12:10;12:25;12:35
2;12:40;12:55;13:05
1;13:05;13:20;13:30
2;13:35;13:50;14:00
1;14:05;14:20;14:30
2;14:30;14:45;14:55
1;15:00;15:15;15:25
2;15:25;15:40;15:50
1;15:55;16:10;16:20
2;16:25;16:40;16:50
1;16:50;17:05;17:15
2;17:20;17:35;17:45
1;18:00;18:15;18:25
2;18:40;18:55;19:05
1;19:16;19:31;19:41
2;19:46;20:01;20:11
1;20:10;20:25;20:35
2;20:40;20:55;21:05
1;21:05;21:20;21:30
2;21:35;21:50;22:00
