Автобус №98;Четвер 28 травня 2026. Діє з 14.01.2026.
Вулиця Милославська - ТЕЦ-6
№ випуску;Вулиця Милославська;школа № 320;Вулиця Данькевича;Вулиця Закревського;ТЕЦ-6
1;06:00;06:02;06:06;06:12;06:25
1;07:00;07:02;07:06;07:12;07:25
1;08:00;08:02;08:06;08:12;08:25
1;09:00;09:02;09:06;09:12;09:25
1;10:20;10:22;10:26;10:32;10:45
1;11:35;11:37;11:41;11:47;12:00
1;12:35;12:37;12:41;12:47;13:00
1;13:35;13:37;13:41;13:47;14:00
1;14:35;14:37;14:41;14:47;15:00
1;15:35;15:37;15:41;15:47;16:00
1;16:45;16:47;16:51;16:57;17:10
1;17:45;17:47;17:51;17:57;18:10
1;18:45;18:47;18:51;18:57;19:10
1;20:10;20:12;20:16;20:22;20:35
1;21:10;21:12;21:16;21:22;21:35
ТЕЦ-6 - Вулиця Милославська
№ випуску;ТЕЦ-6;Вулиця Закревського;Вулиця Данькевича;школа № 320;Вулиця Милославська;Вулиця Милославська
1;06:30;06:43;06:49;06:53;06:55;06:57
1;07:30;07:43;07:49;07:53;07:55;07:57
1;08:30;08:43;08:49;08:53;08:55;08:57
1;09:50;10:03;10:09;10:13;10:15;10:17
1;11:05;11:18;11:24;11:28;11:30;11:32
1;12:05;12:18;12:24;12:28;12:30;12:32
1;13:05;13:18;13:24;13:28;13:30;13:32
1;14:05;14:18;14:24;14:28;14:30;14:32
1;15:05;15:18;15:24;15:28;15:30;15:32
1;16:15;16:28;16:34;16:38;16:40;16:42
1;17:15;17:28;17:34;17:38;17:40;17:42
1;18:15;18:28;18:34;18:38;18:40;18:42
1;19:40;19:53;19:59;20:03;20:05;20:07
1;20:40;20:53;20:59;21:03;21:05;21:07
1;21:40;21:53;21:59;22:03;22:06;—
