Автобус №99;Четвер 28 травня 2026. Діє з 28.04.2026. Зміна розкладу з 01.06.2026.
проспект Литовський (Мінський масив) - Станція метро «Мінська»
№ випуску;проспект Литовський (Мінський масив);Діагностичний центр;Вулиця П. Калнишевського;Станція метро «Мінська» (вис);Станція метро «Мінська»
3;05:40;05:44;05:50;05:59;06:08
5;05:57;06:01;06:07;06:16;06:19
6;06:06;06:10;06:16;06:25;06:28
7;06:12;06:16;06:22;06:31;06:34
8;06:18;06:22;06:28;06:37;06:40
1;06:24;06:28;06:34;06:43;06:46
2;06:30;06:34;06:40;06:49;06:52
3;06:36;06:40;06:46;06:55;06:58
4;06:42;06:46;06:52;07:01;07:04
5;06:48;06:52;06:58;07:07;07:10
6;06:54;06:58;07:04;07:13;07:16
7;07:00;07:04;07:10;07:19;07:22
8;07:06;07:10;07:16;07:25;07:28
1;07:12;07:16;07:22;07:31;07:34
2;07:18;07:22;07:28;07:37;07:40
3;07:24;07:28;07:34;07:43;07:46
4;07:30;07:34;07:40;07:49;07:52
5;07:36;07:40;07:46;07:55;07:58
6;07:42;07:46;07:52;08:01;08:04
7;07:48;07:52;07:58;08:07;08:10
8;07:54;07:58;08:04;08:13;08:16
1;08:00;08:04;08:10;08:19;08:22
2;08:06;08:10;08:16;08:25;08:28
3;08:12;08:16;08:22;08:31;08:34
4;08:18;08:22;08:28;08:37;08:40
5;08:24;08:28;08:34;08:43;08:46
6;08:30;08:34;08:40;08:49;08:52
7;08:36;08:40;08:46;08:55;08:58
8;08:44;08:48;08:54;09:03;09:06
2;08:52;08:56;09:02;09:11;09:14
1;09:00;09:04;09:10;09:19;09:22
4;09:08;09:12;09:18;09:27;09:30
6;09:16;09:20;09:26;09:35;—
3;09:22;09:26;09:32;09:41;09:44
8;09:29;09:33;09:39;09:48;—
5;09:36;09:40;09:46;09:55;09:58
2;09:42;09:46;09:52;10:01;—
7;09:54;09:58;10:04;10:13;10:16
4;10:00;10:04;10:10;10:19;—
1;10:11;10:15;10:21;10:30;10:33
3;10:25;10:29;10:35;10:44;10:47
5;10:39;10:43;10:49;10:58;11:01
7;10:52;10:56;11:02;11:11;11:14
1;11:04;11:08;11:14;11:23;11:26
3;11:16;11:20;11:26;11:35;11:38
5;11:28;11:32;11:38;11:47;11:50
7;11:40;11:44;11:50;11:59;12:02
1;11:52;11:56;12:02;12:11;12:14
3;12:04;12:08;12:14;12:23;12:26
5;12:16;12:20;12:26;12:35;12:38
7;12:28;12:32;12:38;12:47;12:50
1;12:40;12:44;12:50;12:59;13:02
3;12:52;12:56;13:02;13:11;13:14
5;13:04;13:08;13:14;13:23;13:26
7;13:16;13:20;13:26;13:35;13:38
1;13:28;13:32;13:38;13:47;13:50
3;13:40;13:44;13:50;13:59;14:02
5;13:52;13:56;14:02;14:11;14:14
7;14:04;14:08;14:14;14:23;14:26
1;14:16;14:20;14:26;14:35;14:38
3;14:28;14:32;14:38;14:47;14:50
5;14:40;14:44;14:50;14:59;15:02
7;14:52;14:56;15:02;15:11;15:14
1;15:04;15:08;15:14;15:23;15:26
3;15:16;15:20;15:26;15:35;15:38
5;15:28;15:32;15:38;15:47;15:50
7;15:40;15:44;15:50;15:59;16:02
1;15:52;15:56;16:02;16:11;16:14
3;16:04;16:08;16:14;16:23;16:26
5;16:16;16:20;16:26;16:35;16:38
7;16:28;16:32;16:38;16:47;16:50
8;16:34;16:38;16:44;16:53;16:56
1;16:40;16:44;16:50;16:59;17:02
2;16:46;16:50;16:56;17:05;17:08
3;16:52;16:56;17:02;17:11;17:14
4;16:58;17:02;17:08;17:17;17:20
5;17:04;17:08;17:14;17:23;17:26
6;17:10;17:14;17:20;17:29;17:32
7;17:16;17:20;17:26;17:35;17:38
8;17:22;17:26;17:32;17:41;17:44
1;17:28;17:32;17:38;17:47;17:50
2;17:34;17:38;17:44;17:53;17:56
3;17:40;17:44;17:50;17:59;18:02
4;17:46;17:50;17:56;18:05;18:08
5;17:52;17:56;18:02;18:11;18:14
6;17:58;18:02;18:08;18:17;18:20
7;18:04;18:08;18:14;18:23;18:26
8;18:12;18:16;18:22;18:31;18:34
2;18:20;18:24;18:30;18:39;18:42
1;18:28;18:32;18:38;18:47;18:50
4;18:35;18:39;18:45;18:54;18:57
3;18:41;18:45;18:51;19:00;19:03
6;18:48;18:52;18:58;19:07;19:10
5;18:55;18:59;19:05;19:14;19:17
8;19:02;19:06;19:12;19:21;19:24
2;19:10;19:14;19:20;19:29;19:32
7;19:18;19:22;19:28;19:37;19:40
4;19:26;19:30;19:36;19:45;19:48
6;19:34;19:38;19:44;19:53;19:56
1;19:41;19:45;19:51;20:00;20:03
8;19:47;19:51;19:57;20:06;—
3;19:53;19:57;20:03;20:12;20:15
2;19:59;20:03;20:09;20:18;—
5;20:05;20:09;20:15;20:24;20:27
7;20:17;20:21;20:27;20:36;20:39
1;20:29;20:33;20:39;20:48;20:51
3;20:41;20:45;20:51;21:00;21:03
5;20:53;20:57;21:03;21:12;21:15
7;21:05;21:09;21:15;21:24;21:27
1;21:17;21:21;21:27;21:36;21:39
3;21:29;21:33;21:39;21:48;21:51
5;21:41;21:45;21:51;22:00;22:03
7;21:53;21:57;22:03;22:12;22:15
1;22:05;22:09;22:15;22:24;22:27
3;22:17;22:21;22:27;22:36;22:39
5;22:29;22:33;22:39;22:48;22:51
7;22:41;22:45;22:51;23:00;23:03
1;22:53;22:57;23:03;23:12;—
3;23:05;23:09;23:15;23:24;—
Станція метро «Мінська» - проспект Литовський (Мінський масив)
№ випуску;Станція метро «Мінська»;Вулиця П. Калнишевського;Діагностичний центр;проспект Литовський (Мінський масив)
1;06:00;06:10;06:15;06:19
3;06:10;06:20;06:25;06:29
5;06:20;06:30;06:35;06:39
6;06:30;06:40;06:45;06:49
7;06:36;06:46;06:51;06:55
8;06:42;06:52;06:57;07:01
1;06:48;06:58;07:03;07:07
2;06:54;07:04;07:09;07:13
3;07:00;07:10;07:15;07:19
4;07:06;07:16;07:21;07:25
5;07:12;07:22;07:27;07:31
6;07:18;07:28;07:33;07:37
7;07:24;07:34;07:39;07:43
8;07:30;07:40;07:45;07:49
1;07:36;07:46;07:51;07:55
2;07:42;07:52;07:57;08:01
3;07:48;07:58;08:03;08:07
4;07:54;08:04;08:09;08:13
5;08:00;08:10;08:15;08:19
6;08:06;08:16;08:21;08:25
7;08:12;08:22;08:27;08:31
8;08:18;08:28;08:33;08:37
1;08:24;08:34;08:39;08:43
2;08:30;08:40;08:45;08:49
3;08:36;08:46;08:51;08:55
4;08:42;08:52;08:57;09:01
5;08:48;08:58;09:03;09:07
6;08:54;09:04;09:09;09:13
7;09:00;09:10;09:15;09:19
8;09:08;09:18;09:23;09:27
2;09:16;09:26;09:31;09:35
1;09:24;09:34;09:39;09:43
4;09:32;09:42;09:47;09:51
3;09:46;09:56;10:01;10:05
5;10:02;10:12;10:17;10:21
7;10:18;10:28;10:33;10:37
1;10:34;10:44;10:49;10:53
3;10:49;10:59;11:04;11:08
5;11:03;11:13;11:18;11:22
7;11:16;11:26;11:31;11:35
1;11:28;11:38;11:43;11:47
3;11:40;11:50;11:55;11:59
5;11:52;12:02;12:07;12:11
7;12:04;12:14;12:19;12:23
1;12:16;12:26;12:31;12:35
3;12:28;12:38;12:43;12:47
5;12:40;12:50;12:55;12:59
7;12:52;13:02;13:07;13:11
1;13:04;13:14;13:19;13:23
3;13:16;13:26;13:31;13:35
5;13:28;13:38;13:43;13:47
7;13:40;13:50;13:55;13:59
1;13:52;14:02;14:07;14:11
3;14:04;14:14;14:19;14:23
5;14:16;14:26;14:31;14:35
7;14:28;14:38;14:43;14:47
1;14:40;14:50;14:55;14:59
3;14:52;15:02;15:07;15:11
5;15:04;15:14;15:19;15:23
7;15:16;15:26;15:31;15:35
1;15:28;15:38;15:43;15:47
3;15:40;15:50;15:55;15:59
5;15:52;16:02;16:07;16:11
7;16:04;16:14;16:19;16:23
1;16:16;16:26;16:31;16:35
3;16:28;16:38;16:43;16:47
4;16:34;16:44;16:49;16:53
5;16:40;16:50;16:55;16:59
6;16:46;16:56;17:01;17:05
7;16:52;17:02;17:07;17:11
8;16:58;17:08;17:13;17:17
1;17:04;17:14;17:19;17:23
2;17:10;17:20;17:25;17:29
3;17:16;17:26;17:31;17:35
4;17:22;17:32;17:37;17:41
5;17:28;17:38;17:43;17:47
6;17:34;17:44;17:49;17:53
7;17:40;17:50;17:55;17:59
8;17:46;17:56;18:01;18:05
1;17:52;18:02;18:07;18:11
2;17:58;18:08;18:13;18:17
3;18:04;18:14;18:19;18:23
4;18:10;18:20;18:25;18:29
5;18:16;18:26;18:31;18:35
6;18:22;18:32;18:37;18:41
7;18:28;18:38;18:43;18:47
8;18:36;18:46;18:51;18:55
2;18:44;18:54;18:59;19:03
1;18:52;19:02;19:07;19:11
4;18:59;19:09;19:14;19:18
3;19:05;19:15;19:20;19:24
6;19:12;19:22;19:27;19:31
5;19:19;19:29;19:34;19:38
8;19:26;19:36;19:41;19:45
2;19:34;19:44;19:49;19:53
7;19:42;19:52;19:57;20:01
4;19:50;20:00;20:05;20:09
6;19:58;20:08;20:13;20:17
1;20:05;20:15;20:20;20:24
3;20:17;20:27;20:32;20:36
5;20:29;20:39;20:44;20:48
7;20:41;20:51;20:56;21:00
1;20:53;21:03;21:08;21:12
3;21:05;21:15;21:20;21:24
5;21:17;21:27;21:32;21:36
