Тролейбус №15;Четвер 28 травня 2026. Діє з 01.01.2026.
Станція метро «Видубичі» - Станція метро «Палац спорту»
№ випуску;Станція метро «Видубичі»;Печерський міст;Площа Лесі Украінки;Станція метро «Палац спорту»
1;07:45;07:56;08:02;08:11
2;08:14;08:25;08:31;08:40
1;08:38;08:49;08:55;09:04
2;09:10;09:21;09:27;09:36
1;09:30;09:40;09:46;09:55
2;10:03;10:14;10:20;10:29
1;11:05;11:16;11:22;11:31
1;12:00;12:11;12:17;12:26
1;12:55;13:06;13:12;13:21
1;13:51;14:02;14:08;14:17
1;14:48;14:59;15:05;15:14
1;15:44;15:55;16:01;16:10
1;16:36;16:47;16:53;17:02
2;17:00;17:10;17:16;17:25
2;17:51;18:01;18:07;18:16
1;18:12;18:23;18:29;18:38
2;18:41;18:52;18:58;19:07
1;19:08;19:19;19:25;19:34
2;19:34;19:45;19:51;20:00
1;20:00;20:10;20:15;20:23
1;20:50;20:59;—;—
Станція метро «Палац спорту» - Станція метро «Видубичі»
№ випуску;Станція метро «Палац спорту»;Площа Лесі Украінки;Залізничне шосе;Залізничне шосе;Станція метро «Видубичі»
1;—;—;—;07:40;07:42
2;—;—;—;08:09;08:11
1;08:14;08:21;08:33;08:33;08:35
2;08:43;08:50;09:02;09:02;09:04
1;09:06;09:13;09:25;09:25;09:27
2;09:39;09:46;09:58;09:58;10:00
1;09:57;10:04;10:16;11:01;11:03
1;11:34;11:41;11:53;11:53;11:55
1;12:29;12:36;12:48;12:48;12:50
1;13:25;13:32;13:44;13:44;13:46
1;14:20;14:27;14:39;14:40;14:42
1;15:18;15:25;15:37;15:37;15:39
1;16:12;16:19;16:31;16:31;16:33
2;—;—;—;16:55;16:57
1;17:04;17:11;17:23;18:08;18:10
2;17:27;17:34;17:46;17:46;17:48
2;18:18;18:25;18:37;18:37;18:39
1;18:42;18:49;19:01;19:01;19:03
2;19:10;19:17;19:29;19:29;19:31
1;19:36;19:43;19:55;19:55;19:57
1;20:26;20:33;20:45;20:45;20:47
