Тролейбус №16;Четвер 28 травня 2026. Діє з 23.04.2026.
Вулиця Мрії - Майдан Незалежності
№ випуску;Вулиця Мрії;Станція метро «Дорогожичі»;Станція метро «Лук’янівська»;Майдан Незалежності
1;06:00;06:17;06:28;06:43
3;06:20;06:37;06:48;07:03
4;06:36;06:53;07:04;07:19
5;06:51;07:08;07:20;07:36
6;07:04;07:23;07:35;07:51
1;07:28;07:46;07:58;08:14
2;07:39;07:58;08:10;08:26
3;07:54;08:13;08:25;08:41
4;08:10;08:29;08:41;08:57
5;08:30;08:49;09:01;09:17
6;08:47;09:06;09:18;09:34
2;09:17;09:36;09:48;10:04
1;09:47;10:06;10:18;10:34
3;10:14;10:31;10:43;10:59
4;10:30;10:49;11:01;11:17
5;10:50;11:09;11:21;11:37
2;10:55;11:14;—;—
6;11:08;11:27;11:39;11:55
1;11:27;11:46;11:58;12:14
3;11:50;12:08;12:20;12:36
4;12:08;12:27;12:39;12:55
5;12:30;12:48;13:00;13:16
6;12:48;13:06;13:19;13:35
1;13:05;13:24;13:36;13:52
3;13:27;13:46;13:58;14:14
4;13:46;14:05;14:17;14:33
5;14:07;14:26;14:38;14:54
6;14:27;14:46;14:58;15:14
1;14:43;15:03;15:14;15:30
3;15:04;15:23;15:35;15:51
4;15:25;15:44;15:56;16:12
5;15:45;16:04;16:16;16:32
6;16:05;16:24;16:36;16:52
1;16:22;16:41;16:54;17:10
2;16:42;17:01;17:14;17:30
3;17:00;17:19;17:31;17:47
4;17:20;17:39;17:51;18:07
5;17:39;17:58;18:10;18:26
6;17:55;18:14;18:26;18:42
2;18:20;18:39;18:51;19:07
1;18:36;18:55;19:07;19:23
3;18:59;19:18;19:30;19:46
4;19:23;19:42;19:54;20:10
5;19:43;20:02;20:14;20:30
2;19:58;20:17;—;—
6;20:05;20:22;20:33;20:48
1;20:25;20:42;20:53;21:08
3;20:42;20:59;21:10;21:25
4;21:00;21:17;21:28;21:43
5;21:17;21:34;21:45;22:00
6;21:34;21:51;22:02;22:17
1;21:55;22:12;22:23;22:38
3;22:11;22:28;—;—
4;22:29;22:46;—;—
5;22:47;23:04;—;—
6;23:02;23:19;—;—
1;23:24;23:41;—;—
Майдан Незалежності - Вулиця Мрії
№ випуску;Майдан Незалежності;Станція метро «Лук’янівська»;Станція метро «Дорогожичі»;Вулиця Мрії
1;06:45;06:59;07:10;07:26
3;07:05;07:21;07:33;07:51
4;07:21;07:36;07:48;08:06
5;07:38;07:54;08:06;08:24
6;07:53;08:09;08:22;08:41
1;08:16;08:32;08:44;09:02
2;08:28;08:44;08:56;09:14
3;08:43;08:59;09:11;09:29
4;08:59;09:15;09:27;09:44
5;09:19;09:35;09:47;10:05
6;09:36;09:52;10:04;10:22
2;10:06;10:22;10:34;10:52
1;10:36;10:52;11:04;11:22
3;11:01;11:17;11:29;11:47
4;11:19;11:35;11:47;12:05
5;11:39;11:55;12:07;12:25
6;11:57;12:13;12:25;12:43
1;12:16;12:32;12:44;13:02
3;12:38;12:54;13:06;13:24
4;12:57;13:13;13:25;13:43
5;13:18;13:34;13:46;14:04
6;13:37;13:53;14:06;14:24
1;13:54;14:10;14:22;14:40
3;14:16;14:32;14:44;15:02
4;14:35;14:51;15:03;15:21
5;14:56;15:12;15:24;15:42
6;15:16;15:32;15:44;16:02
1;15:32;15:48;16:00;16:18
3;15:53;16:09;16:21;16:39
4;16:14;16:30;16:42;17:00
5;16:34;16:50;17:02;17:20
6;16:54;17:10;17:22;17:40
1;17:12;17:28;17:40;17:58
2;17:32;17:48;18:00;18:17
3;17:49;18:05;18:17;18:35
4;18:09;18:25;18:37;18:55
5;18:28;18:44;18:56;19:14
6;18:44;19:00;19:12;19:30
2;19:09;19:25;19:37;19:55
1;19:25;19:41;19:53;20:10
3;19:48;20:04;20:15;20:31
4;20:12;20:26;20:37;20:53
5;20:32;20:46;20:58;21:14
6;20:50;21:04;21:15;21:31
1;21:10;21:24;21:35;21:51
3;21:27;21:41;21:52;22:08
4;21:45;21:59;22:10;22:26
5;22:02;22:16;22:28;22:44
6;22:18;22:32;22:43;22:59
1;22:40;22:54;23:05;23:21
