Тролейбус №17;Четвер 28 травня 2026. Діє з 01.01.2026.
Площа Космонавтів - Станція метро «Площа Українських Героїв»
№ випуску;Площа Космонавтів;Вулиця Карела Чапека;Станція метро «Університет»;Станція метро «Площа Українських Героїв»
1;06:00;06:11;06:22;06:31
2;06:17;06:28;06:40;06:48
4;06:40;06:51;07:04;07:13
1;06:58;07:09;07:22;07:31
2;07:17;07:28;07:41;07:51
3;07:30;07:41;07:54;08:04
4;07:45;07:56;08:09;08:19
1;08:05;08:16;08:30;08:41
2;08:22;08:33;08:47;08:58
3;08:40;08:51;09:05;09:16
4;08:58;09:09;09:23;09:34
1;09:27;09:38;09:51;10:01
3;09:50;10:01;10:14;10:23
2;10:20;10:31;10:44;10:53
1;11:00;11:11;11:24;11:33
2;11:27;11:38;11:51;12:00
1;12:06;12:17;12:30;12:39
2;12:32;12:43;12:56;13:05
1;13:13;13:24;13:37;13:46
2;13:38;13:49;14:02;14:11
1;14:18;14:29;14:42;14:51
2;14:46;14:57;15:10;15:20
1;15:22;15:33;15:46;15:56
3;15:38;15:49;16:02;16:12
2;15:55;16:06;16:19;16:28
4;16:12;16:23;16:36;16:45
1;16:31;16:42;16:55;17:04
3;16:46;16:57;17:10;17:19
2;17:02;17:13;17:26;17:35
4;17:18;17:29;17:43;17:52
1;17:39;17:49;18:02;18:11
3;17:54;18:05;18:19;18:29
4;18:30;18:41;18:55;19:05
2;18:55;19:06;19:18;19:27
1;19:31;19:42;19:53;20:02
2;20:02;20:13;20:25;20:34
1;20:32;20:43;20:54;21:03
2;21:03;21:13;21:24;21:31
1;21:35;21:46;21:57;22:04
2;22:05;22:15;22:26;22:33
Станція метро «Площа Українських Героїв» - Площа Космонавтів
№ випуску;Станція метро «Площа Українських Героїв»;Повітрофлотський шляхопровід;Вулиця Генадія Воробйова;Площа Космонавтів
1;06:33;06:44;06:51;06:56
2;06:50;07:01;07:08;07:14
4;07:15;07:28;07:36;07:42
1;07:33;07:46;07:55;08:02
2;07:53;08:05;08:13;08:20
3;08:06;08:19;08:28;08:35
4;08:21;08:34;08:44;08:51
1;08:43;08:56;09:06;09:12
2;09:00;09:13;09:24;09:31
3;09:18;09:31;09:39;09:45
4;09:36;09:49;09:58;10:05
1;10:03;10:16;10:24;10:30
3;10:25;10:38;10:46;10:53
2;10:55;11:08;11:17;11:24
1;11:35;11:48;11:56;12:03
2;12:02;12:15;12:23;12:30
1;12:42;12:55;13:04;13:10
2;13:07;13:19;13:28;13:35
1;13:48;14:01;14:09;14:15
2;14:13;14:26;14:34;14:41
1;14:53;15:06;15:14;15:20
2;15:22;15:35;15:44;15:51
1;15:58;16:11;16:21;16:28
3;16:14;16:27;16:36;16:43
2;16:30;16:43;16:52;16:59
4;16:47;17:00;17:09;17:16
1;17:06;17:19;17:29;17:36
3;17:21;17:34;17:44;17:51
2;17:37;17:51;18:03;18:10
4;17:54;18:08;18:20;18:27
1;18:13;18:27;18:39;18:46
3;18:31;18:46;18:59;19:06
4;19:07;19:21;19:32;19:39
2;19:29;19:42;19:52;19:59
1;20:04;20:15;20:23;20:29
2;20:36;20:47;20:55;21:01
1;21:05;21:16;21:24;21:30
2;21:33;21:44;21:52;21:58
1;22:06;22:17;22:24;22:30
2;22:35;22:46;22:53;22:59
