Тролейбус №18;Четвер 28 травня 2026. Діє з 23.04.2026.
Вулиця Сошенка - Майдан Незалежності
№ випуску;Вулиця Сошенка;Куренівський парк;Станція метро «Лук’янівська»;Майдан Незалежності
12;—;—;06:13;06:28
1;06:00;06:16;06:32;06:47
3;06:15;06:31;06:47;07:02
5;06:24;06:40;06:57;07:13
6;06:32;06:48;07:04;07:20
7;06:40;06:56;07:13;07:29
8;06:48;07:04;07:22;07:38
9;06:55;07:11;07:29;07:45
10;07:06;07:23;07:41;07:57
11;07:14;07:31;07:49;08:05
12;07:21;07:38;07:56;08:12
13;07:33;07:50;08:08;08:24
1;07:42;07:59;08:17;08:33
2;07:49;08:06;08:24;08:40
3;07:56;08:13;08:31;08:47
4;08:06;08:23;08:41;08:57
5;08:12;08:29;08:47;09:03
6;08:18;08:35;08:53;09:09
7;08:27;08:44;09:02;09:18
8;08:36;08:53;09:11;09:27
9;08:45;09:02;09:20;09:36
10;08:54;09:11;09:29;09:45
11;09:02;09:19;09:37;09:53
12;09:09;09:26;09:44;10:00
13;09:23;09:40;09:58;10:14
2;09:37;09:54;10:12;10:28
4;09:56;10:13;10:31;10:47
1;10:12;10:29;10:47;11:03
3;10:29;10:46;11:04;11:20
5;10:44;11:01;11:19;11:35
7;11:00;11:17;11:35;11:51
9;11:16;11:33;11:51;12:07
2;11:26;11:43;—;—
11;11:32;11:49;12:07;12:23
4;11:44;12:01;—;—
13;11:52;12:09;12:27;12:43
1;12:00;12:17;12:35;12:51
3;12:16;12:33;12:51;13:07
5;12:32;12:49;13:07;13:23
7;12:48;13:05;13:23;13:39
9;13:03;13:20;13:38;13:54
11;13:20;13:37;13:55;14:11
13;13:39;13:56;14:13;14:29
1;13:53;14:10;14:28;14:44
3;14:09;14:26;14:43;14:59
5;14:23;14:40;14:58;15:14
7;14:38;14:55;15:13;15:29
9;14:52;15:09;15:27;15:43
11;15:09;15:26;15:44;16:00
13;15:26;15:43;16:01;16:17
1;15:42;15:59;16:17;16:33
2;—;—;16:23;16:39
3;15:56;16:13;16:31;16:47
4;—;—;16:38;16:54
5;16:11;16:28;16:46;17:02
6;—;—;16:54;17:10
7;16:26;16:43;17:01;17:17
8;—;—;17:10;17:26
9;16:44;17:01;17:19;17:35
10;16:52;17:09;17:27;17:43
11;17:00;17:17;17:35;17:51
12;17:10;17:27;17:45;18:01
