Тролейбус №19;Четвер 28 травня 2026. Діє з 01.05.2026.
Площа Космонавтів - Вулиця Ольжича
№ випуску;Площа Космонавтів;Вулиця Карела Чапека;Станція метро «Лук’янівська»;Вулиця Ольжича
1;05:50;06:00;06:11;06:27
2;06:10;06:20;06:31;06:47
3;06:30;06:40;06:51;07:07
4;06:50;07:00;07:12;07:28
1;07:11;07:21;07:34;07:51
2;07:36;07:47;08:01;08:18
3;07:56;08:07;08:20;08:36
4;08:17;08:28;08:42;08:58
1;08:52;09:03;09:17;09:34
2;09:18;09:29;09:43;10:00
3;09:44;09:55;10:09;10:25
4;10:13;10:24;10:38;10:54
1;10:49;11:00;11:13;11:30
2;11:16;11:27;11:41;11:58
3;11:36;11:47;12:01;12:18
4;11:54;12:05;12:19;12:36
1;12:20;12:31;12:45;13:02
2;12:48;12:59;13:13;13:30
3;13:05;13:16;13:30;13:47
4;13:27;13:38;13:52;14:09
1;13:52;14:03;14:17;14:34
2;14:21;14:32;14:46;15:03
3;14:38;14:49;15:03;15:20
4;15:00;15:11;15:25;15:42
1;15:26;15:37;15:51;16:08
2;15:52;16:03;16:17;16:34
3;16:10;16:21;16:35;16:52
4;16:34;16:45;16:59;17:16
1;17:10;17:21;17:35;17:52
2;17:36;17:47;18:01;18:18
3;18:00;18:11;18:25;18:42
4;18:23;18:34;18:48;19:05
1;19:07;19:18;19:32;19:49
2;19:37;19:48;20:02;20:19
3;19:55;20:06;20:19;20:35
4;20:16;20:27;20:40;20:56
1;20:42;20:52;21:04;21:21
2;21:10;21:20;21:32;21:49
3;21:24;21:34;21:46;22:03
4;21:50;22:00;22:12;22:28
Вулиця Ольжича - Площа Космонавтів
№ випуску;Вулиця Ольжича;Станція метро «Лук’янівська»;Вулиця Генадія Воробйова;Площа Космонавтів
1;06:29;06:50;07:03;07:09
2;06:50;07:11;07:26;07:33
3;07:10;07:31;07:46;07:53
4;07:30;07:52;08:07;08:14
1;07:54;08:16;08:31;08:37
2;08:21;08:43;08:57;09:03
3;08:39;09:01;09:16;09:22
4;09:01;09:22;09:37;09:43
1;09:36;09:58;10:13;10:19
2;10:02;10:24;10:38;10:45
3;10:27;10:49;11:04;11:11
4;10:56;11:17;11:32;11:38
1;11:33;11:55;12:10;12:17
2;12:01;12:23;12:38;12:45
3;12:20;12:42;12:57;13:03
4;12:38;13:00;13:15;13:22
1;13:05;13:27;13:42;13:49
2;13:34;13:56;14:11;14:18
3;13:50;14:12;14:27;14:34
4;14:12;14:34;14:49;14:56
1;14:39;15:01;15:16;15:23
2;15:05;15:27;15:42;15:49
3;15:23;15:45;16:00;16:07
4;15:47;16:09;16:24;16:31
1;16:11;16:33;16:48;16:55
2;16:37;16:59;17:14;17:21
3;16:55;17:17;17:32;17:39
4;17:19;17:41;17:56;18:02
1;17:55;18:16;18:31;18:37
2;18:20;18:42;18:57;19:04
3;18:45;19:07;19:22;19:29
4;19:08;19:30;19:45;19:52
1;19:53;20:15;20:30;20:36
2;20:24;20:46;20:59;21:04
3;20:39;21:00;21:14;21:20
4;21:01;21:22;21:36;21:42
1;21:26;21:47;22:01;22:07
2;21:53;22:14;22:28;22:34
3;22:07;22:28;22:42;22:47
4;22:30;22:51;23:05;23:11
