Тролейбус №23;Четвер 28 травня 2026. Діє з 23.04.2026.
Вулиця Мрії - Лук’янівська площа
№ випуску;Вулиця Мрії;Вулиця Щусєва;Лук’янівська площа
1;06:10;06:23;06:39
2;06:28;06:41;06:57
3;06:44;06:57;07:13
1;07:12;07:26;07:43
2;07:32;07:46;08:03
3;07:50;08:04;08:21
1;08:20;08:34;08:51
2;08:40;08:54;09:12
3;09:05;09:19;09:36
1;09:40;09:54;10:11
2;10:08;10:22;10:39
3;10:37;10:51;11:08
1;11:14;11:28;11:45
2;11:40;11:54;12:12
3;12:03;12:17;12:35
1;12:25;12:39;12:57
2;12:53;13:07;13:25
3;13:13;13:27;13:45
1;13:37;13:51;14:09
2;14:02;14:16;14:34
3;14:23;14:37;14:55
1;14:51;15:05;15:23
2;15:15;15:29;15:47
3;15:36;15:50;16:08
1;16:00;16:14;16:31
2;16:26;16:40;16:58
3;16:46;17:00;17:18
1;17:08;17:22;17:39
2;17:35;17:49;18:06
3;18:00;18:14;18:31
1;18:31;18:45;19:02
2;18:55;19:09;19:26
3;19:35;19:49;20:06
1;20:09;20:22;20:38
2;20:35;20:48;21:04
3;20:55;21:08;21:24
1;21:12;21:25;21:41
2;21:39;21:52;22:08
3;22:05;22:18;22:34
1;22:17;22:30;—
2;22:42;22:55;—
3;23:08;23:21;—
Лук’янівська площа - Вулиця Мрії
№ випуску;Лук’янівська площа;Станція метро Сирець»;Вулиця Мрії
1;06:41;06:59;07:09
2;06:59;07:17;07:28
3;07:15;07:35;07:47
1;07:45;08:05;08:17
2;08:05;08:25;08:37
3;08:23;08:43;08:55
1;08:52;09:12;09:24
2;09:16;09:36;09:48
3;09:40;10:00;10:12
1;10:13;10:33;10:45
2;10:41;11:01;11:13
3;11:10;11:30;11:41
1;11:48;12:08;12:20
2;12:16;12:36;12:48
3;12:38;12:58;13:10
1;13:00;13:20;13:32
2;13:27;13:47;13:59
3;13:47;14:07;14:19
1;14:11;14:33;14:45
2;14:36;14:57;15:09
3;14:57;15:18;15:30
1;15:26;15:46;15:57
2;15:51;16:11;16:23
3;16:11;16:31;16:43
1;16:33;16:53;17:05
2;17:00;17:20;17:32
3;17:20;17:40;17:52
1;17:41;18:01;18:13
2;18:08;18:28;18:40
3;18:33;18:53;19:05
1;19:06;19:26;19:38
2;19:28;19:48;20:00
3;20:08;20:28;20:39
1;20:40;20:58;21:09
2;21:07;21:25;21:36
3;21:28;21:46;21:57
1;21:45;22:03;22:14
2;22:10;22:28;22:39
3;22:35;22:53;23:05
