Тролейбус №24;Четвер 28 травня 2026. Діє з 04.03.2026.
Вулиця Північна - Проспект Свободи
№ випуску;Вулиця Північна;Станція метро «Мінська»;Вулиця Вишгородська;Проспект Свободи
3;—;—;05:52;06:02
1;06:00;06:10;06:22;06:32
2;06:20;06:30;06:42;06:52
5;—;—;06:55;07:05
3;06:45;06:55;07:07;07:18
4;07:05;07:15;07:28;07:39
1;07:17;07:27;07:40;07:51
2;07:35;07:45;07:58;08:09
5;07:49;07:59;08:12;08:23
3;08:02;08:12;08:25;08:36
4;08:24;08:34;08:47;08:58
1;08:48;08:58;09:11;09:22
5;09:10;09:20;09:33;09:44
2;09:26;09:36;09:49;10:00
4;09:42;09:52;10:05;—
3;10:04;10:14;10:27;10:38
1;10:35;10:45;10:58;11:09
2;10:56;11:06;11:19;11:30
3;11:24;11:34;11:47;11:58
1;11:51;12:01;12:14;12:25
2;12:16;12:26;12:39;12:50
3;12:42;12:52;13:05;13:16
1;13:10;13:20;13:33;13:44
2;13:36;13:46;13:59;14:10
3;14:02;14:12;14:26;14:36
1;14:30;14:40;14:53;15:04
2;14:56;15:06;15:19;15:30
3;15:21;15:31;15:44;15:55
1;15:48;15:58;16:11;16:22
2;16:14;16:24;16:37;16:47
5;—;—;16:49;17:00
3;16:40;16:50;17:03;17:14
4;17:00;17:10;17:23;17:34
1;17:26;17:36;17:49;18:00
5;17:44;17:54;18:07;18:18
2;18:00;18:10;18:23;18:34
4;18:18;18:28;18:41;18:52
3;18:30;18:40;18:53;19:04
1;18:44;18:54;19:07;19:18
5;19:04;19:14;19:27;19:38
2;19:35;19:45;19:58;20:09
4;19:40;19:50;20:03;—
3;20:00;20:10;20:22;20:32
5;20:20;20:30;20:42;—
1;20:25;20:35;20:47;20:57
2;20:50;21:00;21:12;21:22
3;21:17;21:27;21:39;21:49
1;21:45;21:55;22:07;22:17
2;22:05;22:15;22:27;22:37
3;22:32;22:42;22:54;23:04
1;23:00;23:10;23:22;—
Проспект Свободи - Вулиця Північна
№ випуску;Проспект Свободи;Вулиця Івашкевича;Станція метро «Мінська»;Вулиця Північна
1;—;05:32;05:44;05:57
2;—;05:52;06:04;06:17
3;06:05;06:16;06:28;06:41
4;—;06:37;06:49;07:02
1;06:35;06:46;06:58;07:12
2;06:55;07:06;07:18;07:32
5;07:08;07:20;07:32;07:46
3;07:21;07:33;07:45;07:59
4;07:42;07:54;08:06;08:20
1;07:54;08:06;08:18;08:32
2;08:12;08:24;08:36;08:50
5;08:26;08:38;08:50;09:04
3;08:39;08:51;09:03;09:17
4;09:01;09:13;09:25;09:39
1;09:25;09:37;09:49;10:03
2;10:03;10:15;10:27;10:41
3;10:41;10:53;11:05;11:19
1;11:11;11:23;11:35;11:48
2;11:33;11:45;11:57;12:11
3;12:01;12:13;12:25;12:39
1;12:28;12:40;12:52;13:06
2;12:53;13:05;13:17;13:31
3;13:19;13:31;13:43;13:57
1;13:47;14:00;14:12;14:26
2;14:13;14:26;14:38;14:52
3;14:39;14:51;15:03;15:17
1;15:07;15:19;15:31;15:45
2;15:33;15:45;15:57;16:11
3;15:58;16:10;16:22;16:36
4;—;16:29;16:41;16:55
1;16:25;16:37;16:49;17:03
2;16:50;17:02;17:14;17:28
5;17:03;17:15;17:27;17:41
3;17:18;17:30;17:42;17:56
4;17:37;17:49;18:01;18:15
1;18:03;18:15;18:27;18:41
5;18:21;18:33;18:45;18:59
2;18:37;18:49;19:01;19:15
4;18:55;19:07;19:19;19:33
3;19:07;19:19;19:31;19:45
1;19:21;19:33;19:45;19:59
5;19:40;19:51;20:03;20:17
2;20:11;20:22;20:34;20:47
3;20:35;20:46;20:58;21:12
1;21:00;21:11;21:23;21:37
2;21:25;21:36;21:48;22:02
3;21:52;22:03;22:15;22:29
1;22:20;22:31;22:43;22:57
