Тролейбус №26;Четвер 28 травня 2026. Діє з 16.04.2026.
Проспект Свободи - Станція метро «Нивки»
№ випуску;Проспект Свободи;Варшавський мікрорайон;Вулиця Стеценка;Станція метро «Нивки»
1;06:15;06:21;06:32;06:40
2;06:36;06:43;06:53;07:02
3;06:57;07:03;07:15;07:26
1;07:16;07:22;07:34;07:46
2;07:48;07:54;08:10;08:26
3;08:05;08:12;08:27;08:44
1;08:29;08:35;08:51;09:05
2;08:58;09:04;09:18;09:28
3;09:26;09:32;09:44;09:53
1;09:57;10:03;10:14;10:24
2;10:27;10:33;10:44;10:53
3;10:57;11:03;11:14;11:24
1;11:27;11:33;11:44;11:54
2;11:55;12:01;12:12;12:23
3;12:22;12:28;12:40;12:51
1;12:46;12:52;13:04;13:14
2;13:12;13:18;13:31;13:40
3;13:30;13:36;13:49;13:58
1;13:46;13:52;14:05;14:15
2;14:13;14:19;14:32;14:42
3;14:38;14:44;14:57;15:07
1;15:03;15:10;15:22;15:32
2;15:25;15:31;15:45;15:55
3;15:45;15:51;16:03;16:13
1;16:10;16:17;16:29;16:38
2;16:57;17:04;17:17;17:26
3;17:16;17:23;17:36;17:46
1;17:44;17:50;18:03;18:13
2;18:03;18:10;18:23;18:33
3;18:26;18:32;18:43;18:52
1;18:53;19:00;19:13;19:22
2;19:29;19:35;19:46;19:56
3;19:53;19:59;20:10;20:19
1;20:22;20:28;20:39;20:49
2;20:39;20:45;20:55;21:05
3;20:52;20:58;21:08;21:17
1;21:23;21:29;21:39;21:47
2;21:40;21:46;21:56;22:05
3;21:58;22:04;22:16;22:24
Станція метро «Нивки» - Проспект Свободи
№ випуску;Станція метро «Нивки»;Площа Валерія Марченка;Проспект Свободи
1;05:48;05:56;06:13
2;06:08;06:16;06:33
3;06:29;06:37;06:54
1;06:45;06:55;07:13
2;07:05;07:15;07:35
3;07:32;07:42;08:01
1;07:49;07:59;08:19
2;08:30;08:39;08:56
3;08:51;09:01;09:20
1;09:07;09:17;09:36
2;09:30;09:40;09:59
3;09:56;10:06;10:25
1;10:30;10:40;10:59
2;10:57;11:07;11:26
3;11:31;11:41;12:00
1;12:02;12:12;12:32
2;12:31;12:41;13:00
3;12:58;13:08;13:27
1;13:17;13:26;13:44
2;13:43;13:52;14:10
3;14:01;14:10;14:28
1;14:22;14:32;14:52
2;14:49;14:58;15:18
3;15:14;15:23;15:42
1;15:36;15:45;16:05
2;16:02;16:12;16:30
3;16:16;16:25;16:44
1;16:40;16:53;17:16
2;17:30;17:40;17:59
3;17:49;17:59;18:19
1;18:16;18:26;18:46
2;18:39;18:50;19:10
3;18:54;19:06;19:28
1;19:24;19:34;19:52
2;20:00;20:10;20:29
3;20:25;20:33;20:49
1;20:55;21:04;21:21
2;21:11;21:20;21:37
3;21:22;21:31;21:50
1;21:49;21:57;22:13
2;22:11;22:19;22:35
3;22:26;22:34;22:50
