Тролейбус №28;Четвер 28 травня 2026. Діє з 01.01.2026.
Проспект Свободи - Станція метро «Лук’янівська»
№ випуску;Проспект Свободи;Куренівський парк;Станція метро «Лук’янівська»
1;06:10;06:30;06:46
2;06:30;06:50;07:06
3;06:55;07:15;07:33
4;07:10;07:30;07:48
1;07:32;07:52;08:10
2;07:52;08:12;08:30
3;08:20;08:40;08:57
4;08:35;08:55;09:13
1;09:06;09:26;09:44
2;09:48;10:08;10:26
3;10:30;10:50;11:08
1;11:00;11:20;11:38
2;11:27;11:47;12:05
3;11:55;12:15;12:33
1;12:23;12:43;13:01
2;12:50;13:10;13:28
3;13:16;13:36;13:54
1;13:45;14:05;14:23
2;14:15;14:35;14:52
3;14:40;15:00;15:17
1;15:11;15:31;15:48
2;15:36;15:56;16:14
3;16:01;16:21;16:39
1;16:32;16:52;17:10
4;16:50;17:10;17:28
2;17:15;17:35;17:53
3;17:45;18:05;18:23
4;18:15;18:35;18:51
1;18:40;19:00;19:17
2;19:08;19:28;19:45
3;19:35;19:55;20:13
1;20:01;20:21;20:37
2;20:30;20:50;21:06
3;20:56;21:16;21:32
1;21:20;21:40;21:58
2;21:50;22:10;22:26
3;22:20;22:40;22:56
Станція метро «Лук’янівська» - Проспект Свободи
№ випуску;Станція метро «Лук’янівська»;Куренівський парк;Проспект Свободи
1;06:48;07:05;07:27
2;07:08;07:24;07:46
3;07:35;07:53;08:15
4;07:50;08:08;08:30
1;08:12;08:30;08:51
2;08:32;08:50;09:12
3;08:59;09:16;09:38
4;09:15;09:33;09:54
1;09:46;10:05;10:27
2;10:28;10:46;11:08
3;11:10;11:28;11:50
1;11:40;11:58;12:19
2;12:07;12:25;12:47
3;12:35;12:52;13:13
1;13:03;13:20;13:42
2;13:31;13:48;14:10
3;13:56;14:14;14:36
1;14:25;14:43;15:05
2;14:54;15:12;15:33
3;15:19;15:36;15:58
1;15:50;16:07;16:29
2;16:16;16:34;16:56
3;16:41;16:59;17:21
1;17:12;17:30;17:52
4;17:30;17:48;18:10
2;17:55;18:13;18:35
3;18:25;18:43;19:05
4;18:53;19:09;19:30
1;19:19;19:36;19:58
2;19:47;20:04;20:26
3;20:15;20:32;20:53
1;20:39;20:55;21:16
2;21:08;21:24;21:45
3;21:34;21:50;22:11
1;22:05;22:21;22:42
