Тролейбус №29;Четвер 28 травня 2026. Діє з 18.03.2026.
площа Дарницька - Залізнична станція «Куренівка»
№ випуску;площа Дарницька;Дарницький універмаг;Вулиця Чорних Запорожців;масив Райдужний;Залізнична станція «Куренівка»
1;06:05;06:09;06:24;06:31;06:46
2;06:32;06:36;06:51;06:58;07:13
3;06:57;07:01;07:16;07:24;07:40
4;07:14;07:18;07:34;07:42;07:58
1;07:36;07:40;07:56;08:04;08:20
2;07:59;08:03;08:19;08:27;—
5;08:12;08:16;08:32;08:40;08:56
3;08:26;08:30;08:46;08:54;09:10
4;08:44;08:48;09:04;09:12;—
1;09:05;09:09;09:25;09:33;—
5;09:38;09:42;09:58;10:06;10:21
3;09:53;09:57;10:13;10:21;—
2;10:24;10:28;10:44;10:52;11:08
5;11:04;11:08;11:24;11:32;—
4;11:09;11:13;11:29;11:37;11:53
1;11:33;11:37;11:53;12:01;12:17
2;11:54;11:58;12:14;12:22;12:38
3;12:18;12:22;12:38;12:46;13:02
4;12:39;12:43;12:59;13:07;13:23
1;13:02;13:06;13:22;13:30;13:46
2;13:24;13:28;13:44;13:52;14:08
3;13:47;13:51;14:07;14:15;14:31
4;14:09;14:13;14:29;14:37;14:53
1;14:32;14:36;14:52;15:00;15:16
2;14:54;14:58;15:14;15:22;15:37
3;15:17;15:21;15:37;15:45;16:01
4;15:40;15:44;16:00;16:08;16:24
1;16:02;16:06;16:22;16:30;16:46
2;16:21;16:25;16:41;16:49;—
5;16:30;16:34;16:50;16:58;17:14
3;16:48;16:52;17:08;17:16;17:32
4;17:09;17:13;17:29;17:37;—
1;17:30;17:34;17:50;17:58;18:14
5;17:58;18:02;18:18;18:26;18:42
3;18:17;18:21;18:37;18:45;—
2;18:47;18:51;19:07;19:15;19:31
1;19:00;19:04;19:20;19:28;—
5;19:27;19:31;19:47;19:55;—
4;19:35;19:39;19:55;20:03;20:19
2;20:19;20:23;20:39;20:47;21:02
3;20:41;20:45;21:00;21:08;21:24
4;21:03;21:07;21:23;21:31;21:47
1;21:23;21:27;21:42;21:49;22:04
2;21:46;21:50;22:05;22:12;—
3;22:10;22:14;22:29;22:36;—
4;22:30;22:34;22:49;22:56;—
1;22:45;22:49;23:04;23:11;—
Залізнична станція «Куренівка» - площа Дарницька
№ випуску;Залізнична станція «Куренівка»;Станція метро «Почайна»;масив Райдужний;Вулиця Чорних Запорожців;площа Дарницька
1;—;05:29;05:41;05:48;06:03
2;—;05:54;06:06;06:14;06:30
3;—;06:20;06:32;06:40;06:55
4;—;06:37;06:49;06:57;07:12
1;06:50;06:55;07:07;07:15;07:31
2;07:15;07:20;07:33;07:41;07:57
5;—;07:33;07:46;07:54;08:10
3;07:42;07:47;08:00;08:08;08:24
4;08:00;08:04;08:17;08:25;08:41
1;08:21;08:26;08:39;08:47;09:03
5;08:57;09:01;09:13;09:21;09:37
3;09:11;09:15;09:27;09:35;09:51
2;—;09:46;09:58;10:06;10:22
5;10:22;10:26;10:39;10:47;11:03
4;—;10:31;10:43;10:51;11:07
1;—;10:54;11:07;11:15;11:31
2;11:10;11:15;11:28;11:36;11:52
3;—;11:40;11:52;12:00;12:16
4;11:55;12:00;12:13;12:21;12:37
1;12:18;12:23;12:36;12:44;13:00
2;12:40;12:45;12:58;13:06;13:22
3;13:03;13:08;13:21;13:29;13:45
4;13:25;13:30;13:43;13:51;14:07
1;13:48;13:53;14:06;14:14;14:30
2;14:10;14:15;14:28;14:36;14:52
3;14:33;14:38;14:51;14:59;15:15
4;14:55;15:00;15:13;15:21;15:37
1;15:17;15:23;15:36;15:44;16:00
2;15:38;15:42;15:55;16:03;16:19
5;—;15:51;16:04;16:12;16:28
3;16:03;16:08;16:21;16:29;16:45
4;16:25;16:30;16:43;16:51;17:07
1;16:47;16:51;17:04;17:12;17:28
5;17:15;17:19;17:32;17:40;17:56
3;17:33;17:38;17:51;17:59;18:15
2;—;18:08;18:21;18:29;18:45
1;18:16;18:21;18:34;18:42;18:58
5;18:44;18:49;19:02;19:10;19:25
4;—;18:56;19:09;19:17;19:33
2;19:36;19:41;19:54;20:02;20:17
3;—;20:04;20:16;20:24;20:39
4;20:21;20:26;20:38;20:46;21:01
1;—;20:47;20:59;21:06;21:21
2;21:04;21:09;21:21;21:29;21:44
3;21:27;21:32;21:44;21:52;22:07
4;21:50;21:54;22:06;22:13;22:28
1;22:05;22:09;22:21;22:28;22:43
