Тролейбус №3;Четвер 28 травня 2026. Діє з 01.01.2026.
Залізничний масив - Станція метро «Палац спорту»
№ випуску;Залізничний масив;Солом’янська площа;Вулиця Гетьмана Скоропадського;Станція метро «Палац спорту»
1;06:00;06:07;06:17;06:29
3;06:25;06:33;06:43;06:55
4;06:45;06:53;07:03;07:15
1;07:01;07:10;07:20;07:32
2;07:17;07:26;07:36;07:48
3;07:33;07:42;07:52;08:04
4;07:48;07:57;08:07;08:19
1;08:04;08:13;08:23;08:35
2;08:20;08:29;08:39;08:51
3;08:40;08:49;08:59;09:11
4;09:02;09:11;09:21;09:33
2;09:23;09:32;09:42;09:54
1;09:44;09:53;10:03;10:15
3;10:06;10:15;10:25;10:37
4;10:33;10:42;10:52;11:04
1;11:00;11:09;11:19;11:31
3;11:25;11:34;11:44;11:56
4;11:48;11:57;12:07;12:19
1;12:09;12:18;12:28;12:40
3;12:30;12:39;12:49;13:01
4;12:51;13:00;13:10;13:22
1;13:12;13:21;13:31;13:43
3;13:33;13:42;13:52;14:04
4;13:54;14:03;14:13;14:25
1;14:15;14:24;14:34;14:46
3;14:36;14:45;14:55;15:07
4;14:57;15:06;15:16;15:28
1;15:18;15:27;15:37;15:49
3;15:39;15:48;15:58;16:10
4;16:00;16:09;16:19;16:31
2;16:16;16:25;16:35;16:47
1;16:32;16:41;16:51;17:03
3;16:48;16:57;17:07;17:19
4;17:08;17:17;17:27;17:39
2;17:28;17:37;17:47;17:59
1;17:49;17:58;18:08;18:20
3;18:10;18:19;18:29;18:41
2;18:31;18:40;18:50;19:02
4;18:55;19:04;19:14;19:26
1;19:20;19:29;19:39;19:51
2;19:34;19:43;19:53;20:05
3;19:50;19:58;20:08;20:20
4;20:05;20:13;20:23;20:35
1;20:30;20:38;20:48;21:00
3;20:50;20:58;21:08;21:20
4;21:10;21:18;21:28;21:40
1;21:30;21:38;21:48;22:00
3;21:50;21:58;22:08;22:20
4;22:15;22:23;22:33;22:45
Станція метро «Палац спорту» - Залізничний масив
№ випуску;Станція метро «Палац спорту»;Вулиця Паньківська;Площа Кривоноса;Солом’янська площа;Залізничний масив
1;06:30;06:38;06:44;06:50;06:57
3;06:56;07:03;07:09;07:15;07:23
4;07:16;07:24;07:30;07:36;07:44
1;07:33;07:41;07:47;07:53;08:01
2;07:49;07:57;08:03;08:09;08:17
3;08:05;08:13;08:19;08:25;08:33
4;08:20;08:28;08:34;08:40;08:48
1;08:36;08:44;08:50;08:56;09:04
2;08:52;09:00;09:06;09:12;09:20
3;09:12;09:20;09:26;09:32;09:40
4;09:34;09:42;09:48;09:54;10:02
2;09:55;10:03;10:09;10:15;10:23
1;10:16;10:24;10:30;10:36;10:44
3;10:38;10:46;10:52;10:58;11:06
4;11:05;11:13;11:19;11:25;11:33
1;11:32;11:40;11:46;11:52;12:00
3;11:57;12:05;12:11;12:17;12:25
4;12:20;12:28;12:34;12:40;12:48
1;12:41;12:49;12:55;13:01;13:09
3;13:02;13:10;13:16;13:22;13:30
4;13:23;13:31;13:37;13:43;13:51
1;13:44;13:52;13:58;14:04;14:12
3;14:05;14:13;14:19;14:25;14:33
4;14:26;14:34;14:40;14:46;14:54
1;14:47;14:55;15:01;15:07;15:15
3;15:08;15:16;15:22;15:28;15:36
4;15:29;15:37;15:43;15:49;15:57
1;15:50;15:58;16:04;16:10;16:18
3;16:11;16:19;16:25;16:31;16:39
4;16:32;16:40;16:46;16:52;17:00
2;16:48;16:56;17:02;17:08;17:16
1;17:04;17:12;17:18;17:24;17:32
3;17:20;17:28;17:34;17:40;17:48
4;17:40;17:48;17:54;18:00;18:08
2;18:00;18:08;18:14;18:20;18:28
1;18:21;18:29;18:35;18:41;18:49
3;18:42;18:50;18:56;19:02;19:10
2;19:03;19:11;19:17;19:23;19:31
4;19:27;19:35;19:41;19:47;19:55
1;19:52;20:00;20:06;20:12;20:19
2;20:06;20:13;20:19;20:25;20:32
3;20:21;20:28;20:34;20:40;20:47
4;20:36;20:43;20:49;20:55;21:02
1;21:01;21:08;21:14;21:20;21:27
3;21:21;21:28;21:34;21:40;21:47
4;21:41;21:48;21:54;22:00;22:07
1;22:01;22:08;22:14;22:20;22:27
3;22:21;22:28;22:34;22:40;22:47
4;22:46;22:53;22:59;23:05;23:12
