Тролейбус №30;Четвер 28 травня 2026. Діє з 04.05.2026.
Вулиця Кадетський Гай - Вулиця Милославська
№ випуску;Вулиця Кадетський Гай;Вулиця Борщагівська;Станція метро «Шулявська»;Кирилівська церква;Станція метро «Почайна»;масив Райдужний;Поліклініка;Вулиця Милославська
6;—;—;—;—;05:35;05:46;05:56;06:02
7;—;—;—;—;05:54;06:05;06:15;06:21
8;—;—;—;—;06:12;06:23;06:33;06:39
9;—;—;—;—;06:30;06:41;06:51;06:57
1;06:00;06:16;06:22;06:36;06:43;06:55;07:06;07:13
2;06:24;06:40;06:46;07:00;07:06;07:19;07:30;07:37
3;06:43;06:59;07:05;07:20;07:26;07:39;07:50;07:57
4;07:05;07:22;07:28;07:42;07:49;08:02;08:13;08:20
5;07:23;07:40;07:47;08:02;08:09;08:22;08:33;08:40
6;07:42;07:59;08:06;08:21;08:28;08:41;08:52;08:59
7;08:02;08:19;08:26;08:41;08:48;09:01;09:12;09:19
9;08:18;08:35;08:42;08:57;09:04;09:17;09:28;09:35
8;08:34;08:51;08:58;09:13;09:20;09:33;09:44;09:51
1;09:00;09:17;09:24;09:39;09:46;09:59;10:10;10:16
2;09:23;09:40;09:47;10:02;10:09;10:22;10:33;10:40
3;09:46;10:03;10:10;10:25;10:32;10:45;10:56;11:03
4;10:08;10:25;10:32;10:47;10:54;11:07;11:18;11:25
5;10:30;10:47;10:54;11:09;11:16;11:29;11:40;11:47
6;10:52;11:09;11:16;11:31;11:38;11:51;12:02;12:09
7;11:14;11:31;11:38;11:53;12:00;12:13;12:24;12:31
8;11:36;11:53;12:00;12:15;12:22;12:35;12:46;12:53
1;11:58;12:15;12:22;12:37;12:44;12:57;13:08;13:15
2;12:20;12:37;12:44;12:59;13:06;13:19;13:30;13:37
3;12:41;12:57;13:04;13:19;13:26;13:39;13:50;13:57
4;13:00;13:17;13:24;13:39;13:46;13:59;14:10;14:17
5;13:20;13:37;13:44;13:59;14:06;14:19;14:30;14:37
6;13:40;13:57;14:04;14:19;14:26;14:39;14:50;14:57
7;14:00;14:17;14:24;14:39;14:46;14:59;15:10;15:17
8;14:20;14:37;14:44;14:59;15:06;15:19;15:30;15:37
1;14:40;14:57;15:04;15:19;15:26;15:39;15:50;15:57
2;15:00;15:17;15:24;15:38;15:45;15:58;16:09;16:16
3;15:20;15:37;15:44;15:59;16:06;16:19;16:30;16:37
4;15:40;15:57;16:04;16:19;16:26;16:39;16:50;16:57
5;16:00;16:17;16:24;16:39;16:46;16:59;17:10;17:17
6;16:20;16:37;16:44;16:59;17:06;17:19;17:30;17:37
7;16:40;16:57;17:04;17:19;17:26;17:39;17:50;17:57
8;17:00;17:17;17:24;17:39;17:46;17:59;18:10;18:17
9;17:20;17:37;17:44;17:59;18:06;18:19;18:30;18:37
1;17:40;17:57;18:04;18:19;18:26;18:39;18:50;18:57
2;18:00;18:17;18:24;18:39;18:46;18:59;19:10;19:17
3;18:20;18:37;18:44;18:59;19:06;19:19;19:30;19:37
4;18:38;18:55;19:02;19:17;19:24;19:37;19:48;19:55
5;19:16;19:33;19:40;19:55;20:02;20:14;20:24;20:31
6;19:40;19:57;20:04;20:19;20:26;20:38;20:48;20:55
7;20:00;20:17;20:24;20:39;20:46;20:58;21:08;21:15
9;20:05;20:21;20:28;20:43;20:50;—;—;—
8;20:20;20:37;20:44;20:59;21:06;21:18;21:28;21:35
1;20:38;20:54;21:00;21:14;21:21;21:32;21:42;21:49
2;20:58;21:14;21:20;21:34;21:41;21:52;22:02;22:09
3;21:17;21:33;21:39;21:53;21:59;22:10;22:20;22:27
4;21:40;21:56;22:03;22:17;22:23;22:34;22:44;22:51
5;22:00;22:16;22:22;22:36;22:42;22:53;23:03;23:10
6;22:15;22:31;22:37;22:51;22:57;—;—;—
7;22:35;22:51;22:57;23:11;23:17;—;—;—
8;22:55;23:11;23:17;23:31;23:37;—;—;—
Вулиця Милославська - Вулиця Кадетський Гай
№ випуску;Вулиця Милославська;Вулиця Сержа Лифаря;масив Райдужний;Кирилівська церква;Станція метро «Шулявська»;Вулиця Борщагівська;Площа Космонавтів;Вулиця Кадетський Гай
1;—;—;—;05:20;05:33;05:39;05:44;05:57
2;—;—;—;05:44;05:57;06:03;06:08;06:21
3;—;—;—;06:03;06:16;06:22;06:27;06:40
4;—;—;—;06:25;06:38;06:44;06:49;07:02
5;—;—;—;06:34;06:47;06:53;06:58;07:11
6;06:05;06:13;06:25;06:42;06:55;07:01;07:06;07:20
7;06:24;06:31;06:42;06:58;07:10;07:17;07:22;07:36
8;06:42;06:49;07:00;07:17;07:31;07:38;07:43;07:57
9;07:00;07:07;07:19;07:36;07:50;07:57;08:02;08:15
1;07:20;07:28;07:40;07:57;08:11;08:18;08:23;08:36
2;07:40;07:48;08:00;08:17;08:31;08:38;08:43;08:56
3;08:00;08:08;08:20;08:37;08:51;08:58;09:03;09:17
4;08:23;08:31;08:43;09:00;09:14;09:21;09:26;09:40
5;08:44;08:52;09:04;09:21;09:35;09:42;09:47;10:00
6;09:06;09:14;09:26;09:43;09:57;10:04;10:09;10:23
7;09:28;09:36;09:48;10:05;10:19;10:26;10:31;10:45
9;09:40;09:49;10:01;—;—;—;—;—
8;09:54;10:02;10:14;10:31;10:45;10:52;10:57;11:11
1;10:19;10:27;10:39;10:56;11:10;11:17;11:22;11:36
2;10:43;10:51;11:03;11:20;11:34;11:41;11:46;12:00
3;11:06;11:14;11:26;11:43;11:56;12:03;12:08;12:22
4;11:28;11:36;11:48;12:05;12:18;12:25;12:30;12:43
5;11:50;11:58;12:10;12:27;12:40;12:47;12:52;13:05
6;12:12;12:20;12:32;12:49;13:03;13:10;13:15;13:29
7;12:34;12:42;12:54;13:11;13:25;13:32;13:37;13:51
8;12:56;13:04;13:16;13:33;13:47;13:54;13:59;14:13
1;13:18;13:27;13:39;13:56;14:10;14:17;14:22;14:36
2;13:40;13:49;14:01;14:17;14:31;14:38;14:43;14:57
3;14:00;14:09;14:20;14:37;14:51;14:58;15:03;15:17
4;14:20;14:29;14:40;14:57;15:11;15:18;15:23;15:37
5;14:40;14:49;15:00;15:17;15:31;15:38;15:43;15:57
6;15:00;15:09;15:20;15:37;15:51;15:58;16:03;16:17
7;15:20;15:29;15:40;15:57;16:11;16:18;16:23;16:37
8;15:40;15:49;16:00;16:17;16:31;16:38;16:43;16:57
9;—;—;—;16:30;16:44;16:51;16:56;17:10
1;16:00;16:08;16:20;16:37;16:51;16:58;17:03;17:17
2;16:19;16:27;16:39;16:56;17:10;17:17;17:22;17:35
3;16:40;16:48;17:00;17:17;17:31;17:38;17:43;17:57
4;17:02;17:10;17:22;17:39;17:53;18:00;18:05;18:19
5;17:20;17:28;17:40;17:57;18:11;18:18;18:23;18:37
