Тролейбус №32;Четвер 28 травня 2026. Діє з 04.03.2026.
Вулиця Північна - Вулиця Сошенка
№ випуску;Вулиця Північна;Оболонський проспект;Вулиця Сошенка
1;06:00;06:08;06:24
3;06:20;06:29;06:46
4;06:40;06:49;07:06
1;06:55;07:04;07:21
2;07:10;07:19;07:36
3;07:25;07:34;07:51
4;07:40;07:49;08:06
1;07:55;08:04;08:21
2;08:10;08:19;08:36
3;08:25;08:34;08:51
4;08:45;08:54;09:11
2;09:10;09:19;09:36
1;09:35;09:44;10:01
3;10:00;10:09;10:26
4;10:25;10:34;10:51
1;10:50;10:59;11:16
3;11:10;11:19;11:36
4;11:30;11:39;11:56
1;11:50;11:59;12:16
3;12:10;12:19;12:36
4;12:30;12:39;12:56
1;12:50;12:59;13:16
3;13:10;13:19;13:36
4;13:30;13:39;13:56
1;13:50;13:59;14:16
3;14:10;14:19;14:36
4;14:30;14:39;14:56
1;14:50;14:59;15:16
3;15:10;15:19;15:36
4;15:30;15:39;15:56
1;15:50;15:59;16:16
3;16:10;16:19;16:36
2;16:30;16:39;16:56
4;16:50;16:59;17:16
1;17:10;17:19;17:36
2;17:30;17:39;17:56
3;17:50;17:59;18:16
4;18:10;18:19;18:36
2;18:30;18:39;18:56
1;18:45;18:54;19:11
3;19:00;19:09;19:26
4;19:15;19:24;19:41
2;19:30;19:39;19:56
1;19:45;19:53;20:10
3;20:00;20:09;20:26
4;20:20;20:29;20:45
1;20:40;20:49;21:05
3;21:00;21:09;21:25
4;21:20;21:28;21:44
1;21:40;21:48;22:04
3;22:00;22:08;22:24
4;22:20;22:28;22:44
1;22:40;22:48;23:04
3;23:00;23:08;23:24
Вулиця Сошенка - Вулиця Північна
№ випуску;Вулиця Сошенка;Оболонський проспект;Вулиця Північна
4;06:10;06:28;06:36
1;06:27;06:44;06:51
3;06:50;07:08;07:16
4;07:10;07:28;07:36
1;07:25;07:43;07:51
2;07:40;07:58;08:06
3;07:55;08:13;08:21
4;08:10;08:28;08:36
1;08:25;08:43;08:51
2;08:40;08:58;09:06
3;08:55;09:13;09:21
4;09:15;09:33;09:40
1;10:05;10:23;10:31
3;10:30;10:48;10:55
4;10:55;11:13;11:21
1;11:20;11:38;11:46
3;11:40;11:58;12:06
4;12:00;12:18;12:26
1;12:20;12:38;12:46
3;12:40;12:58;13:06
4;13:00;13:18;13:26
1;13:20;13:38;13:46
3;13:40;13:58;14:06
4;14:00;14:18;14:26
1;14:20;14:38;14:46
3;14:40;14:58;15:06
4;15:00;15:18;15:26
1;15:20;15:38;15:46
3;15:40;15:58;16:06
4;16:00;16:18;16:26
1;16:20;16:38;16:46
3;16:40;16:58;17:06
2;17:00;17:18;17:26
4;17:20;17:38;17:46
1;17:40;17:58;18:06
2;18:00;18:18;18:26
3;18:20;18:38;18:45
4;18:40;18:58;19:06
2;19:00;19:18;19:26
1;19:15;19:33;19:41
3;19:30;19:48;19:56
4;19:45;20:03;20:11
1;20:13;20:30;20:37
3;20:30;20:48;20:55
4;20:50;21:08;21:15
1;21:10;21:28;21:35
3;21:30;21:48;21:55
4;21:50;22:07;22:14
1;22:10;22:28;22:35
3;22:30;22:47;22:54
