Тролейбус №37;Четвер 28 травня 2026. Діє з 07.04.2026.
Вулиця Милославська - Станція метро «Лісова»
№ випуску;Вулиця Милославська;Вулиця Сержа Лифаря;Вулиця Братиславська;Станція метро «Лісова»
1;06:00;06:14;06:31;06:43
2;06:20;06:34;06:51;07:03
3;06:39;06:53;07:10;07:22
4;06:56;07:10;07:27;07:39
5;07:14;07:29;07:46;07:59
1;07:32;07:47;08:05;08:18
2;07:52;08:07;08:25;08:38
3;08:11;08:26;08:44;08:57
4;08:39;08:54;09:12;09:25
5;09:05;09:20;09:38;09:51
1;09:32;09:47;10:05;10:18
2;09:59;10:14;10:32;10:45
3;10:27;10:42;11:00;11:13
4;10:46;11:01;11:19;11:32
5;11:05;11:20;11:38;11:51
1;11:25;11:40;11:58;12:11
2;11:45;12:00;12:18;12:31
3;12:04;12:19;12:37;12:50
4;12:23;12:38;12:56;13:09
5;12:42;12:57;13:15;13:28
1;13:01;13:16;13:34;13:47
2;13:21;13:36;13:54;14:07
3;13:40;13:55;14:13;14:26
4;13:59;14:15;14:33;14:46
5;14:19;14:35;14:53;15:06
1;14:39;14:54;15:12;15:25
2;14:59;15:14;15:32;15:45
3;15:18;15:33;15:51;16:04
4;15:38;15:53;16:11;16:24
5;15:58;16:13;16:30;16:42
1;16:26;16:41;16:59;17:12
2;16:50;17:05;17:23;17:36
3;17:15;17:30;17:48;18:01
4;17:40;17:55;18:13;18:26
5;18:04;18:19;18:37;18:50
1;18:28;18:43;19:01;19:14
2;18:50;19:05;19:23;19:36
3;19:10;19:25;19:43;19:56
4;19:30;19:45;20:03;20:16
5;19:50;20:05;20:23;20:36
1;20:10;20:24;20:41;20:53
2;20:30;20:43;20:59;21:11
3;20:50;21:03;21:19;21:31
4;21:10;21:24;21:41;21:53
5;21:30;21:44;22:01;22:13
Станція метро «Лісова» - Вулиця Милославська
№ випуску;Станція метро «Лісова»;Вулиця Братиславська;Поліклініка;Вулиця Милославська
4;06:10;06:22;06:39;06:53
5;06:28;06:39;06:57;07:11
1;06:45;06:56;07:14;07:29
2;07:05;07:16;07:34;07:49
3;07:24;07:35;07:53;08:08
4;07:41;07:52;08:10;08:24
5;08:01;08:13;08:31;08:45
1;08:20;08:32;08:50;09:05
2;08:40;08:52;09:10;09:25
3;08:59;09:11;09:28;09:42
4;09:27;09:39;09:57;10:12
5;09:53;10:05;10:23;10:38
1;10:20;10:32;10:50;11:05
2;10:47;10:59;11:16;11:30
3;11:15;11:27;11:45;12:00
4;11:34;11:46;12:04;12:19
5;11:53;12:05;12:23;12:38
1;12:13;12:25;12:43;12:58
2;12:33;12:45;13:03;13:18
3;12:52;13:04;13:22;13:37
4;13:11;13:23;13:41;13:56
5;13:30;13:42;14:00;14:15
1;13:49;14:01;14:19;14:34
2;14:09;14:21;14:39;14:54
3;14:28;14:40;14:58;15:13
4;14:48;15:00;15:18;15:33
5;15:08;15:20;15:38;15:53
1;15:27;15:39;15:57;16:11
2;15:47;15:59;16:17;16:32
3;16:06;16:18;16:36;16:51
4;16:26;16:38;16:56;17:11
5;16:44;16:56;17:14;17:29
1;17:14;17:26;17:44;17:58
2;17:38;17:50;18:08;18:23
3;18:03;18:15;18:33;18:48
4;18:28;18:40;18:58;19:13
5;18:52;19:04;19:21;19:35
1;19:16;19:28;19:46;20:01
2;19:38;19:50;20:08;20:23
3;19:58;20:10;20:28;20:43
4;20:18;20:30;20:48;21:03
5;20:38;20:50;21:08;21:23
1;20:55;21:06;21:23;21:37
2;21:13;21:24;21:41;21:55
3;21:33;21:44;22:01;22:15
4;21:55;22:06;22:23;22:37
5;22:15;22:26;22:43;22:57
