Тролейбус №38;Четвер 28 травня 2026. Діє з 05.01.2026.
Станція метро «Видубичі» - Національний музей історії України у другій світовій війні
№ випуску;Станція метро «Видубичі»;Печерський міст;Національний музей історії України у другій світовій війні
1;06:00;06:09;06:25
3;06:20;06:29;06:46
5;06:40;06:49;07:06
1;07:02;07:11;07:27
2;07:12;07:21;07:37
3;07:22;07:31;07:47
4;07:32;07:41;07:57
5;07:42;07:51;08:07
6;07:52;08:01;08:17
1;08:02;08:11;08:29
2;08:13;08:24;08:41
3;08:23;08:34;08:52
4;08:33;08:44;09:02
5;08:44;08:55;09:13
6;08:56;09:07;09:25
2;09:18;09:29;09:47
4;09:39;09:50;10:07
1;09:54;10:05;10:22
6;10:03;10:14;—
3;10:16;10:27;10:45
2;10:23;10:34;—
5;10:38;10:49;11:07
4;10:44;10:55;—
1;11:00;11:11;11:29
3;11:23;11:34;11:52
5;11:46;11:57;12:15
1;12:09;12:20;12:38
3;12:31;12:42;13:00
5;12:54;13:05;13:23
1;13:17;13:28;13:46
3;13:40;13:51;14:09
5;14:02;14:13;14:31
1;14:25;14:36;14:54
3;14:48;14:59;15:17
5;15:10;15:21;15:39
1;15:33;15:44;16:02
3;15:56;16:07;16:24
5;16:18;16:29;16:47
1;16:40;16:51;17:09
2;16:52;17:03;17:21
3;17:03;17:14;17:32
4;17:15;17:26;17:44
5;17:27;17:38;17:56
6;17:38;17:49;18:07
1;17:50;18:01;18:19
2;18:02;18:13;18:31
4;18:22;18:33;18:51
6;18:44;18:55;19:13
3;19:00;19:11;19:29
2;19:09;19:20;—
5;19:22;19:33;19:51
4;19:29;19:40;—
1;19:44;19:54;20:11
6;19:50;20:01;—
3;20:06;20:15;20:32
5;20:28;20:37;20:53
1;20:49;20:58;21:14
3;21:10;21:19;21:35
5;21:30;21:39;21:55
1;21:50;21:59;22:15
3;22:11;22:22;—
5;22:32;22:43;—
1;22:53;23:04;—
Національний музей історії України у другій світовій війні - Станція метро «Видубичі»
№ випуску;Національний музей історії України у другій світовій війні;Площа Лесі Украінки;Залізничне шосе;Залізничне шосе;Станція метро «Видубичі»
1;—;—;—;05:55;05:57
3;—;—;—;06:15;06:17
5;—;—;—;06:35;06:37
1;06:30;06:45;06:57;06:57;06:59
2;—;—;—;07:07;07:09
3;06:50;07:05;07:17;07:17;07:19
4;—;—;—;07:27;07:29
5;07:10;07:25;07:37;07:37;07:39
6;—;—;—;07:47;07:49
1;07:30;07:45;07:57;07:57;07:59
2;07:40;07:56;08:08;08:08;08:10
3;07:50;08:06;08:18;08:18;08:20
4;08:00;08:16;08:28;08:28;08:30
5;08:10;08:26;08:38;08:38;08:40
6;08:20;08:37;08:49;08:49;08:51
1;08:32;08:50;09:02;09:50;09:52
2;08:43;09:01;09:13;09:13;09:15
3;08:54;09:12;09:24;10:12;10:14
4;09:04;09:22;09:34;09:34;09:36
5;09:16;09:34;09:46;10:34;10:36
6;09:28;09:46;09:58;09:58;10:00
2;09:49;10:06;10:18;10:18;10:20
4;10:10;10:27;10:39;10:39;10:41
1;10:25;10:43;10:55;10:55;10:57
3;10:48;11:06;11:18;11:18;11:20
5;11:10;11:29;11:41;11:41;11:43
1;11:32;11:51;12:03;12:03;12:05
3;11:55;12:14;12:26;12:26;12:28
5;12:18;12:37;12:49;12:49;12:51
1;12:41;13:00;13:12;13:12;13:14
3;13:03;13:22;13:34;13:34;13:36
5;13:26;13:45;13:57;13:57;13:59
1;13:49;14:08;14:20;14:20;14:22
3;14:12;14:31;14:43;14:43;14:45
5;14:34;14:53;15:05;15:05;15:07
1;14:57;15:16;15:28;15:28;15:30
3;15:20;15:39;15:51;15:51;15:53
5;15:42;16:01;16:13;16:13;16:15
1;16:05;16:23;16:35;16:35;16:37
2;—;—;—;16:47;16:49
3;16:27;16:45;16:57;16:57;16:59
4;—;—;—;17:10;17:12
5;16:50;17:08;17:20;17:20;17:22
6;—;—;—;17:33;17:35
1;17:12;17:31;17:43;17:43;17:45
2;17:24;17:43;17:55;17:55;17:57
3;17:35;17:54;18:06;18:56;18:58
4;17:47;18:05;18:17;18:17;18:19
5;17:59;18:18;18:30;19:18;19:20
6;18:10;18:28;18:40;18:40;18:42
1;18:22;18:41;18:53;19:40;19:42
2;18:34;18:52;19:04;19:04;19:06
4;18:54;19:12;19:24;19:24;19:26
6;19:16;19:33;19:45;19:45;19:47
3;19:32;19:50;20:02;20:02;20:04
5;19:54;20:11;20:23;20:23;20:25
1;20:14;20:30;20:42;20:42;20:44
3;20:35;20:51;21:03;21:03;21:05
5;20:56;21:12;21:24;21:24;21:26
1;21:17;21:33;21:45;21:45;21:47
3;21:38;21:54;22:06;22:06;22:08
5;21:59;22:15;22:27;22:27;22:29
1;22:20;22:36;22:48;22:48;22:50
