Тролейбус №39;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Чорнобильська - Проспект Леся Курбаса
№ випуску;Вулиця Чорнобильська;Проспект Берестейський;Проспект Леся Курбаса
1;06:00;06:09;06:18
2;06:20;06:29;06:38
1;06:42;06:51;07:00
2;07:05;07:15;07:25
1;07:30;07:40;07:50
2;07:55;08:05;08:15
1;08:20;08:30;08:40
2;08:45;08:55;09:05
1;09:25;09:35;09:45
2;10:00;10:10;10:20
1;10:35;10:45;10:55
2;11:00;11:10;11:20
1;11:25;11:35;11:45
2;11:50;12:00;12:10
1;12:15;12:25;12:35
2;12:40;12:50;13:00
1;13:05;13:15;13:25
2;13:30;13:40;13:50
1;13:55;14:05;14:15
2;14:20;14:30;14:40
1;14:45;14:55;15:05
2;15:10;15:20;15:30
1;15:35;15:45;15:55
2;16:00;16:10;16:20
1;16:40;16:50;17:00
2;17:15;17:25;17:35
1;17:50;18:00;18:10
2;18:15;18:25;18:35
1;18:40;18:50;19:00
2;19:05;19:15;19:25
1;19:30;19:40;19:50
2;19:55;20:05;20:15
1;20:20;20:30;20:40
2;20:45;20:55;21:05
1;21:10;21:20;21:30
2;21:32;21:42;—
1;21:56;22:06;—
Проспект Леся Курбаса - Вулиця Чорнобильська
№ випуску;Проспект Леся Курбаса;Проспект Берестейський;Вулиця Чорнобильська
2;05:55;06:03;06:13
1;06:22;06:30;06:40
2;06:42;06:50;07:00
1;07:05;07:14;07:25
2;07:30;07:39;07:50
1;07:55;08:04;08:15
2;08:20;08:29;08:40
1;08:45;08:54;09:05
2;09:10;09:19;09:30
1;09:50;09:59;10:10
2;10:25;10:34;10:45
1;11:00;11:09;11:20
2;11:25;11:34;11:45
1;11:50;11:59;12:10
2;12:15;12:24;12:35
1;12:40;12:49;13:00
2;13:05;13:14;13:25
1;13:30;13:39;13:50
2;13:55;14:04;14:15
1;14:20;14:29;14:40
2;14:45;14:54;15:05
1;15:10;15:19;15:30
2;15:35;15:44;15:55
1;16:00;16:09;16:20
2;16:25;16:34;16:45
1;17:05;17:14;17:25
2;17:40;17:49;18:00
1;18:15;18:24;18:35
2;18:40;18:49;19:00
1;19:05;19:14;19:25
2;19:30;19:39;19:50
1;19:55;20:04;20:15
2;20:20;20:29;20:40
1;20:45;20:53;21:03
2;21:10;21:19;21:29
1;21:35;21:43;21:53
