Тролейбус №4;Четвер 28 травня 2026. Діє з 06.05.2026.
Проспект Свободи - Станція метро «Площа Українських Героїв»
№ випуску;Проспект Свободи;Вулиця Стеценка;Станція метро «Нивки»;Станція метро «Шулявська»;Палац урочистих подій;Станція метро «Площа Українських Героїв»
5;—;—;—;06:04;06:11;06:24
1;06:01;06:15;06:23;06:32;06:39;06:53
2;06:22;06:39;06:48;06:57;07:04;07:19
3;06:43;07:01;07:11;07:21;07:28;07:44
4;07:05;07:23;07:34;07:44;07:51;08:07
5;07:23;07:42;07:54;08:04;08:11;08:27
6;07:38;07:59;08:13;08:23;08:30;08:47
7;07:56;08:18;08:34;08:44;08:51;09:09
1;08:14;08:36;08:50;09:00;09:08;09:26
2;08:41;09:02;09:14;09:23;09:30;09:47
3;09:07;09:26;09:36;09:45;09:52;10:08
4;09:40;09:57;10:06;10:15;10:22;10:38
5;10:10;10:27;10:36;10:44;10:51;11:06
6;10:40;10:57;11:06;11:14;11:21;11:37
1;11:10;11:27;11:36;11:44;11:51;12:07
3;11:39;11:55;12:04;12:12;12:19;12:35
4;12:06;12:22;12:31;12:39;12:46;13:02
5;12:33;12:50;12:59;13:07;13:14;13:30
6;12:59;13:16;13:26;13:34;13:41;13:57
1;13:24;13:43;13:53;14:01;14:08;14:24
3;13:54;14:11;14:20;14:28;14:35;14:51
4;14:20;14:38;14:48;14:57;15:03;15:19
5;14:47;15:05;15:14;15:22;15:29;15:45
6;15:14;15:32;15:42;15:50;15:57;16:13
1;15:36;15:55;16:05;16:13;16:20;16:37
3;15:58;16:18;16:28;16:36;16:43;16:59
7;—;—;—;16:59;17:06;17:22
4;16:38;16:57;17:09;17:17;17:24;17:41
5;17:06;17:26;17:36;17:44;17:51;18:07
2;17:27;17:47;17:57;18:05;18:12;18:29
6;17:52;18:11;18:21;18:29;18:36;18:54
1;18:16;18:34;18:44;18:53;19:00;19:18
7;18:41;19:01;19:11;19:19;19:26;19:43
3;19:08;19:26;19:36;19:44;19:51;20:08
4;19:37;19:54;20:03;20:11;20:18;20:33
5;20:05;20:21;20:29;20:37;20:44;20:58
6;20:32;20:48;20:56;21:04;21:11;21:24
1;20:57;21:13;21:21;21:29;21:36;21:49
3;21:15;21:31;21:40;21:48;21:55;22:08
4;21:47;22:02;22:10;22:18;22:25;22:38
5;22:10;22:25;22:33;22:41;22:48;23:01
Станція метро «Площа Українських Героїв» - Проспект Свободи
№ випуску;Станція метро «Площа Українських Героїв»;Палац урочистих подій;Станція метро «Шулявська»;Станція метро «Нивки»;Площа Валерія Марченка;Проспект Свободи
1;—;—;—;05:34;05:42;05:58
2;—;—;—;05:55;06:03;06:19
3;—;—;—;06:15;06:23;06:40
4;—;—;—;06:37;06:45;07:02
5;06:26;06:40;06:47;06:55;07:03;07:20
6;—;—;—;07:08;07:17;07:34
7;—;—;—;07:25;07:35;07:53
1;06:56;07:11;07:18;07:28;07:38;07:58
2;07:23;07:38;07:46;07:57;08:08;08:28
3;07:48;08:03;08:10;08:19;08:29;08:48
4;08:11;08:26;08:33;08:42;08:52;09:12
5;08:31;08:46;08:53;09:01;09:11;09:31
6;08:51;09:06;09:13;09:22;09:32;09:52
7;09:13;09:29;09:36;09:45;09:55;10:13
1;09:30;09:47;09:54;10:04;10:14;10:32
2;09:50;10:07;—;—;—;—
3;10:10;10:27;10:34;10:43;10:52;11:10
4;10:42;10:59;11:07;11:17;11:27;11:45
5;11:10;11:26;11:34;11:44;11:54;12:13
6;11:41;11:57;12:05;12:15;12:25;12:44
1;12:11;12:26;12:34;12:44;12:54;13:15
3;12:39;12:54;13:04;13:14;13:23;13:43
4;13:06;13:21;13:29;13:39;13:49;14:10
5;13:34;13:49;13:58;14:07;14:16;14:36
6;14:01;14:16;14:26;14:34;14:43;15:03
1;14:28;14:43;14:52;15:01;15:10;15:29
3;14:55;15:10;15:19;15:27;15:36;15:55
4;15:23;15:38;15:45;15:54;16:04;16:23
5;15:49;16:05;16:12;16:21;16:32;16:51
6;16:17;16:33;16:40;16:49;17:01;17:21
2;—;—;—;16:52;17:04;17:24
1;16:41;16:58;17:04;17:13;17:25;17:45
3;17:03;17:21;17:30;17:40;17:53;18:16
7;17:26;17:44;17:53;18:02;18:15;18:35
4;17:45;18:04;18:13;18:22;18:34;18:54
5;18:11;18:30;18:39;18:48;19:00;19:20
2;18:33;18:50;18:59;19:08;19:18;19:37
6;18:58;19:14;19:22;19:31;19:41;20:00
1;19:21;19:37;19:45;19:53;20:03;20:22
7;19:46;20:02;20:10;20:18;20:27;20:46
3;20:11;20:26;20:33;20:41;20:50;21:09
4;20:36;20:50;20:57;21:05;21:14;21:33
5;21:01;21:15;21:22;21:30;21:39;21:58
6;21:27;21:41;21:48;21:56;22:04;22:21
1;21:52;22:06;22:13;22:21;22:29;22:45
3;22:12;22:25;22:32;22:40;22:48;23:04
4;22:40;22:53;—;—;—;—
5;23:03;23:16;—;—;—;—
