Тролейбус №40;Четвер 28 травня 2026. Діє з 13.05.2026.
Вулиця Кадетський Гай - Станція метро «Палац спорту»
№ випуску;Вулиця Кадетський Гай;Солом’янська площа;Станція метро «Палац спорту»
1;06:05;06:16;06:43
3;06:25;06:36;07:03
5;06:48;06:59;07:25
6;07:04;07:18;07:45
7;07:14;07:28;07:56
1;07:27;07:41;08:08
2;07:39;07:53;08:20
3;07:52;08:06;08:33
4;08:05;08:19;08:46
5;08:16;08:30;08:57
6;08:31;08:45;09:12
7;08:45;08:59;09:26
1;08:57;09:11;09:39
2;09:14;09:28;09:55
4;09:33;09:47;10:14
3;09:52;10:06;10:33
5;10:10;10:24;10:51
6;10:30;10:44;11:11
7;10:50;11:04;11:31
1;11:12;11:26;11:53
3;11:34;11:48;12:15
5;11:54;12:08;12:35
6;12:12;12:26;12:53
7;12:30;12:44;13:11
1;12:48;13:02;13:29
3;13:05;13:19;13:46
5;13:23;13:37;14:04
6;13:41;13:55;14:22
7;13:59;14:13;14:40
1;14:16;14:30;14:57
3;14:33;14:47;15:14
5;14:51;15:05;15:32
6;15:09;15:23;15:50
7;15:27;15:41;16:08
1;15:44;15:58;16:25
2;15:52;16:06;16:33
3;16:06;16:20;16:47
4;16:15;16:29;16:56
5;16:28;16:42;17:09
6;16:41;16:55;17:22
7;16:55;17:09;17:36
1;17:12;17:26;17:53
2;17:27;17:41;18:08
4;17:43;17:57;18:24
3;17:58;18:12;18:39
5;18:13;18:27;18:54
6;18:28;18:42;19:09
7;18:43;18:57;19:24
2;18:57;19:11;19:38
4;19:11;19:25;19:52
1;19:25;19:39;20:06
3;19:42;19:56;20:23
5;20:01;20:14;20:40
6;20:16;20:27;20:54
7;20:32;20:43;21:10
1;20:48;20:59;21:25
3;21:05;21:16;21:42
5;21:20;21:31;21:57
6;21:38;21:50;22:17
7;21:54;22:06;22:33
1;22:10;22:22;22:48
Станція метро «Палац спорту» - Вулиця Кадетський Гай
№ випуску;Станція метро «Палац спорту»;Вулиця Жилянська;Солом’янська площа;Вулиця Смілянська;Вулиця Кадетський Гай
1;06:45;06:49;07:11;07:17;07:24
3;07:04;07:09;07:32;07:40;07:47
5;07:26;07:31;07:54;08:02;08:09
6;07:46;07:51;08:14;08:21;08:28
7;07:58;08:03;08:26;08:34;08:41
1;08:09;08:14;08:37;08:45;08:52
2;08:21;08:26;08:49;08:57;09:04
3;08:34;08:39;09:02;09:10;09:17
4;08:47;08:52;09:15;09:23;09:30
5;08:58;09:03;09:26;09:34;09:41
6;09:13;09:18;09:41;09:49;09:56
7;09:27;09:32;09:55;10:03;10:10
1;09:41;09:46;10:09;10:17;10:24
2;09:56;10:01;10:24;10:32;10:39
4;10:15;10:20;10:43;10:51;10:58
3;10:34;10:39;11:02;11:10;11:17
5;10:52;10:57;11:20;11:28;11:35
6;11:12;11:17;11:40;11:48;11:55
7;11:32;11:37;12:00;12:08;12:15
1;11:54;11:59;12:22;12:30;12:37
3;12:16;12:21;12:44;12:52;12:59
5;12:36;12:41;13:04;13:12;13:19
6;12:54;12:59;13:22;13:30;13:37
7;13:12;13:17;13:40;13:48;13:55
1;13:30;13:35;13:58;14:06;14:13
3;13:47;13:52;14:15;14:23;14:30
5;14:05;14:10;14:33;14:41;14:48
6;14:23;14:28;14:51;14:59;15:06
7;14:41;14:46;15:09;15:17;15:24
1;14:58;15:03;15:26;15:34;15:41
3;15:15;15:20;15:43;15:51;15:58
5;15:33;15:38;16:01;16:09;16:16
6;15:51;15:56;16:19;16:27;16:34
7;16:09;16:14;16:37;16:45;16:52
1;16:26;16:31;16:54;17:02;17:09
2;16:34;16:39;17:02;17:10;17:17
3;16:48;16:53;17:16;17:24;17:31
4;16:57;17:02;17:25;17:33;17:40
5;17:10;17:15;17:38;17:45;17:52
6;17:23;17:28;17:51;17:59;18:06
7;17:38;17:43;18:06;18:14;18:21
1;17:54;17:59;18:22;18:30;18:37
2;18:09;18:14;18:37;18:45;18:52
4;18:25;18:30;18:53;19:01;19:08
3;18:40;18:45;19:08;19:16;19:23
5;18:55;19:00;19:22;19:30;19:37
6;19:10;19:15;19:38;19:46;19:53
7;19:25;19:30;19:53;20:01;20:07
2;19:39;19:44;20:07;20:13;20:19
4;19:53;19:58;20:21;20:27;20:33
1;20:07;20:11;20:31;20:37;20:43
3;20:24;20:28;20:48;20:54;21:00
5;20:41;20:45;21:05;21:11;21:17
6;20:55;21:00;21:22;21:29;21:35
7;21:11;21:15;21:35;21:41;21:47
1;21:26;21:30;21:50;21:56;22:02
3;21:43;21:47;22:08;22:14;22:20
5;21:58;22:02;22:23;22:29;22:35
6;22:18;22:22;22:43;22:49;22:55
7;22:35;22:39;22:59;23:05;23:11
1;22:50;22:54;23:15;23:21;23:27
