Тролейбус №40к;Четвер 28 травня 2026. Діє з 13.05.2026.
Вулиця Кадетський Гай - Вулиця Жилянська
№ випуску;Вулиця Кадетський Гай;Солом’янська площа;Вулиця Жилянська
1;06:00;06:11;06:38
3;06:35;06:47;07:15
4;06:56;07:07;07:35
1;07:18;07:33;08:01
2;07:36;07:50;08:19
3;07:59;08:13;08:41
4;08:21;08:34;09:03
1;08:41;08:54;09:22
2;09:02;09:16;09:42
3;09:23;09:37;10:05
3;15:35;15:49;16:17
4;16:00;16:14;16:42
1;16:11;16:25;16:53
2;16:37;16:51;17:19
3;16:59;17:12;17:40
4;17:23;17:37;18:05
1;17:38;17:52;18:20
2;18:05;18:19;18:47
3;18:23;18:37;19:05
4;18:46;19:00;19:28
1;19:07;19:22;19:50
2;19:32;19:46;20:14
Вулиця Жилянська - Вулиця Кадетський Гай
№ випуску;Вулиця Жилянська;Солом’янська площа;Вулиця Смілянська;Вулиця Кадетський Гай
1;06:40;07:00;07:06;07:14
3;07:16;07:38;07:45;07:52
4;07:36;07:59;08:07;08:14
1;08:02;08:23;08:31;08:38
2;08:20;08:43;08:51;08:58
3;08:42;09:05;09:13;09:20
4;09:05;09:29;09:37;09:44
1;09:23;09:46;09:54;10:01
2;09:43;10:05;10:13;10:20
3;10:06;10:29;10:37;10:44
3;16:18;16:40;16:48;16:55
4;16:43;17:05;17:13;17:20
1;16:56;17:19;17:27;17:34
2;17:20;17:43;17:51;17:58
3;17:41;18:03;18:11;18:18
4;18:06;18:28;18:36;18:43
1;18:21;18:44;18:52;18:59
2;18:48;19:11;19:19;19:26
3;19:06;19:29;19:37;19:44
4;19:29;19:50;19:58;20:04
1;19:51;20:14;20:20;20:26
2;20:15;20:35;20:41;20:47
