Тролейбус №41;Четвер 28 травня 2026. Діє з 23.04.2026.
Вулиця Тулузи - Станція метро «Святошин»
№ випуску;Вулиця Тулузи;Вулиця Героїв Космосу;Станція метро «Святошин»
1;06:00;06:08;06:17
3;06:15;06:23;06:32
5;06:30;06:38;06:47
1;06:45;06:53;07:02
3;07:00;07:08;07:18
5;07:15;07:24;07:34
1;07:26;07:35;07:45
2;07:36;07:45;07:55
3;07:46;07:55;08:05
4;07:55;08:04;08:14
5;08:04;08:13;08:23
1;08:14;08:23;08:33
2;08:23;08:32;08:42
3;08:33;08:42;08:52
4;08:43;08:52;09:02
5;08:54;09:03;09:13
2;09:10;09:19;09:29
4;09:29;09:38;09:48
1;09:43;09:52;10:02
2;09:55;10:04;10:14
3;10:04;10:13;10:23
4;10:14;10:23;10:33
5;10:22;10:31;10:41
1;10:35;10:44;10:54
3;10:50;10:59;11:09
5;11:06;11:15;11:25
1;11:22;11:31;11:41
3;11:38;11:47;11:57
5;11:54;12:03;12:13
1;12:10;12:19;12:29
3;12:26;12:35;12:45
5;12:42;12:51;13:01
1;12:58;13:07;13:17
3;13:14;13:23;13:33
5;13:30;13:39;13:49
1;13:46;13:55;14:05
3;14:02;14:11;14:21
5;14:18;14:27;14:37
1;14:34;14:43;14:53
3;14:50;14:59;15:09
5;15:06;15:15;15:25
1;15:22;15:31;15:41
3;15:38;15:47;15:57
5;15:54;16:03;16:13
1;16:09;16:18;16:28
3;16:26;16:35;16:45
5;16:42;16:51;17:01
1;16:55;17:04;17:14
2;17:05;17:14;17:24
3;17:14;17:23;17:33
4;17:23;17:32;17:42
5;17:32;17:41;17:51
1;17:42;17:51;18:01
2;17:52;18:01;18:11
3;18:01;18:10;18:20
4;18:10;18:19;18:29
5;18:20;18:29;18:39
1;18:30;18:39;18:49
2;18:40;18:49;18:59
4;18:55;19:04;19:14
3;19:10;19:19;19:29
2;19:26;19:35;19:45
4;19:41;19:49;19:58
5;19:49;19:58;20:08
1;20:02;20:10;20:19
2;20:11;20:19;20:28
3;20:18;20:26;20:35
4;20:25;20:33;20:42
5;20:33;20:41;20:50
1;20:46;20:54;21:03
3;21:00;21:08;21:17
5;21:15;21:23;21:32
1;21:30;21:38;21:47
3;21:45;21:53;22:02
5;22:02;22:10;22:19
1;22:22;22:30;22:39
3;22:28;22:36;22:45
5;22:47;22:55;23:04
1;23:07;23:15;23:24
Станція метро «Святошин» - Вулиця Тулузи
№ випуску;Станція метро «Святошин»;Вулиця Якуба Коласа;Вулиця Тулузи
1;05:39;05:48;05:58
3;05:53;06:02;06:12
5;06:08;06:17;06:27
1;06:19;06:28;06:39
3;06:34;06:43;06:54
5;06:51;07:00;07:10
1;07:04;07:13;07:23
2;07:12;07:22;07:33
3;07:21;07:31;07:43
4;07:33;07:42;07:52
5;07:37;07:47;07:59
1;07:48;07:58;08:10
2;07:58;08:08;08:20
3;08:08;08:18;08:30
4;08:17;08:27;08:39
5;08:26;08:36;08:48
1;08:36;08:46;08:57
2;08:45;08:55;09:06
3;08:55;09:05;09:17
4;09:05;09:15;09:26
5;09:16;09:26;09:37
2;09:31;09:41;09:52
4;09:50;10:00;10:11
1;10:05;10:15;10:27
3;10:26;10:36;10:47
5;10:43;10:53;11:04
1;10:57;11:07;11:19
3;11:12;11:22;11:34
5;11:28;11:38;11:50
1;11:44;11:54;12:06
3;12:00;12:10;12:22
5;12:16;12:26;12:38
1;12:32;12:42;12:54
3;12:48;12:58;13:10
5;13:04;13:14;13:26
1;13:20;13:30;13:42
3;13:36;13:46;13:58
5;13:52;14:02;14:14
1;14:08;14:18;14:30
3;14:24;14:34;14:46
5;14:40;14:50;15:02
1;14:56;15:06;15:18
3;15:12;15:22;15:34
5;15:28;15:38;15:50
1;15:44;15:54;16:06
3;16:00;16:10;16:22
5;16:16;16:26;16:38
1;16:30;16:40;16:52
2;16:40;16:50;17:02
3;16:49;16:59;17:11
4;16:58;17:08;17:20
5;17:06;17:16;17:28
1;17:17;17:27;17:39
2;17:27;17:37;17:49
3;17:36;17:46;17:58
4;17:45;17:55;18:07
5;17:54;18:04;18:16
1;18:04;18:14;18:26
2;18:14;18:24;18:36
3;18:23;18:32;18:44
4;18:32;18:41;18:52
5;18:42;18:52;19:04
1;18:52;19:02;19:14
2;19:02;19:12;19:23
4;19:16;19:26;19:38
3;19:31;19:41;19:52
2;19:47;19:57;20:08
4;20:00;20:10;20:21
5;20:10;20:19;20:29
1;20:22;20:31;20:42
3;20:37;20:46;20:57
5;20:52;21:01;21:12
1;21:06;21:15;21:26
3;21:20;21:29;21:40
5;21:35;21:44;21:55
1;21:50;21:59;22:10
3;22:05;22:14;22:25
5;22:25;22:34;22:44
1;22:45;22:54;23:04
