Тролейбус №43;Четвер 28 травня 2026. Діє з 20.05.2026.
Кібцентр - площа Дарницька
№ випуску;Кібцентр;Станція метро «Виставковий центр»;станція метро «Голосіївська»;Станція метро «Либідська»;міст Патона;площа Дарницька
1;—;05:15;05:24;05:31;05:43;05:57
2;—;05:45;05:54;06:01;06:13;06:27
3;06:00;06:11;06:20;06:27;06:39;06:53
4;—;06:29;06:38;06:45;06:57;07:12
5;06:32;06:44;06:54;07:02;07:15;07:32
1;07:00;07:14;07:25;07:34;07:47;08:04
6;07:20;07:34;07:48;07:57;08:10;08:27
2;07:40;07:56;08:10;08:19;08:32;08:49
3;08:05;08:21;08:37;08:46;08:59;09:16
4;08:35;08:51;09:07;09:16;09:29;09:46
5;09:10;09:25;09:41;09:50;10:03;10:21
6;09:45;09:58;10:10;10:19;10:32;10:48
1;10:15;10:28;10:40;10:49;11:02;11:18
2;10:50;11:02;11:13;11:22;11:34;11:50
3;11:16;11:28;11:39;11:48;12:00;12:17
4;11:42;11:54;12:05;12:14;12:26;12:42
5;12:05;12:17;12:28;12:37;12:49;13:05
1;12:30;12:42;12:53;13:02;13:14;13:31
2;13:00;13:12;13:23;13:32;13:44;14:01
3;13:25;13:37;13:48;13:57;14:09;14:26
4;13:50;14:02;14:13;14:22;14:34;14:50
5;14:15;14:27;14:38;14:47;14:59;15:16
1;14:40;14:52;15:03;15:12;15:24;15:40
2;15:10;15:22;15:33;15:42;15:54;16:11
3;15:35;15:47;15:58;16:07;16:20;16:37
6;—;16:11;16:22;16:31;16:44;17:01
4;16:17;16:30;16:41;16:50;17:04;17:22
5;16:50;17:02;17:13;17:22;17:36;17:54
1;17:15;17:29;17:40;17:49;18:05;18:23
2;17:40;17:55;18:06;18:15;18:33;18:51
3;18:05;18:20;18:31;18:40;18:58;19:16
6;18:30;18:45;18:56;19:05;19:20;19:37
4;19:00;19:13;19:23;19:31;19:45;20:02
5;19:30;19:42;19:52;20:00;20:13;20:30
1;20:00;20:11;20:20;20:28;20:41;20:58
2;20:30;20:41;20:50;20:57;21:09;21:25
3;21:00;21:11;21:20;21:27;21:39;21:53
4;21:20;21:31;21:40;21:47;21:59;22:14
5;21:40;21:51;22:00;22:07;22:19;22:34
площа Дарницька - Кібцентр
№ випуску;площа Дарницька;Площа Наводницька;Станція метро «Либідська»;станція метро «Голосіївська»;Станція метро «Виставковий центр»;Кібцентр
1;06:00;06:17;06:28;06:34;06:44;06:54
2;06:30;06:48;06:59;07:06;07:17;07:29
3;06:57;07:15;07:26;07:33;07:44;07:56
4;07:16;07:35;07:47;07:55;08:07;08:21
5;07:40;08:02;08:15;08:25;08:39;08:54
1;08:07;08:29;08:42;08:52;09:06;09:21
6;08:30;08:52;09:05;09:14;09:27;09:41
2;08:53;09:15;09:28;09:37;09:50;10:04
3;09:20;09:42;09:55;10:03;10:15;10:29
4;09:50;10:10;10:22;10:30;10:42;10:56
5;10:30;10:49;11:00;11:08;11:20;11:33
6;10:50;11:06;11:17;11:24;11:35;—
1;11:21;11:38;11:49;11:57;12:09;12:21
2;11:54;12:11;12:22;12:30;12:42;12:54
3;12:20;12:37;12:48;12:56;13:08;13:20
4;12:46;13:03;13:14;13:22;13:34;13:46
5;13:09;13:26;13:37;13:45;13:57;14:09
1;13:34;13:51;14:02;14:10;14:22;14:34
2;14:04;14:21;14:32;14:40;14:52;15:04
3;14:29;14:46;14:57;15:05;15:17;15:29
4;14:54;15:11;15:22;15:30;15:42;15:54
5;15:19;15:36;15:47;15:55;16:07;16:20
1;15:44;16:01;16:12;16:21;16:34;16:47
2;16:14;16:31;16:42;16:52;17:06;17:20
3;16:41;16:58;17:09;17:19;17:34;17:49
6;17:05;17:23;17:35;17:45;18:00;18:15
4;17:27;17:45;17:57;18:07;18:22;18:38
5;17:57;18:15;18:27;18:37;18:52;19:08
1;18:26;18:44;18:56;19:06;19:21;19:37
2;18:55;19:13;19:25;19:35;19:50;20:05
3;19:20;19:37;19:48;19:58;20:12;20:25
6;19:40;19:56;20:07;20:15;20:26;—
4;20:05;20:22;20:33;20:41;20:52;21:06
5;20:33;20:50;21:01;21:08;21:19;21:30
1;21:01;21:17;21:28;21:35;21:46;21:56
2;21:28;21:44;21:55;22:01;22:11;22:21
3;21:55;22:10;22:20;22:26;22:36;22:46
4;22:20;22:35;22:45;22:51;23:01;23:11
5;22:40;22:55;23:06;23:12;23:21;—
