Тролейбус №44;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Північна - Проспект Степана Бандери
№ випуску;Вулиця Північна;Оболонський проспект;Поліклініка;Вулиця Олександра Архипенка;Проспект Степана Бандери
1;05:55;06:03;06:15;06:18;06:25
2;06:28;06:36;06:48;06:51;06:58
1;07:00;07:08;07:20;07:23;07:30
2;07:33;07:41;07:54;07:57;08:04
1;08:05;08:14;08:27;08:30;08:37
2;08:40;08:49;09:02;09:05;09:12
1;09:25;09:33;09:46;09:49;09:56
2;10:10;10:18;10:31;10:34;10:41
1;10:55;11:03;11:16;11:19;11:26
2;11:30;11:38;11:51;11:54;12:01
1;12:03;12:11;12:24;12:27;12:34
2;12:36;12:44;12:57;13:00;13:07
1;13:09;13:17;13:30;13:33;13:40
2;13:42;13:50;14:03;14:06;14:13
1;14:15;14:23;14:36;14:39;14:46
2;14:48;14:56;15:09;15:12;15:19
1;15:21;15:29;15:42;15:45;15:52
2;15:54;16:02;16:15;16:18;16:25
1;16:27;16:35;16:48;16:51;16:58
2;17:00;17:08;17:21;17:24;17:31
1;17:45;17:53;18:06;18:09;18:16
2;18:30;18:38;18:51;18:54;19:01
1;19:15;19:23;19:36;19:39;19:46
2;19:50;19:58;20:10;20:13;20:20
1;20:22;20:30;20:42;20:45;20:52
2;20:54;21:02;21:14;21:17;21:24
1;21:30;21:38;21:50;21:53;22:00
2;22:00;22:08;22:19;22:22;22:29
Проспект Степана Бандери - Вулиця Північна
№ випуску;Проспект Степана Бандери;Вулиця Олександра Архипенка;Поліклініка;Оболонський проспект;Вулиця Північна
1;06:30;06:35;06:38;06:50;06:58
2;07:00;07:05;07:08;07:21;07:30
1;07:31;07:37;07:40;07:53;08:02
2;08:05;08:11;08:14;08:27;08:36
1;08:38;08:44;08:47;09:00;09:08
2;09:13;09:19;09:22;09:35;09:43
1;09:57;10:03;10:06;10:19;10:27
2;10:42;10:48;10:51;11:04;11:12
1;11:27;11:33;11:36;11:49;11:58
2;12:02;12:08;12:11;12:24;12:33
1;12:35;12:41;12:44;12:57;13:06
2;13:08;13:14;13:17;13:30;13:39
1;13:41;13:47;13:50;14:03;14:12
2;14:14;14:20;14:23;14:36;14:45
1;14:47;14:53;14:56;15:09;15:18
2;15:20;15:26;15:29;15:42;15:51
1;15:53;15:59;16:02;16:15;16:24
2;16:26;16:32;16:35;16:48;16:57
1;16:59;17:05;17:08;17:21;17:29
2;17:32;17:38;17:41;17:54;18:03
1;18:17;18:23;18:26;18:38;18:46
2;19:02;19:08;19:11;19:24;19:32
1;19:47;19:53;19:56;20:09;20:17
2;20:21;20:26;20:29;20:41;20:49
1;20:53;20:58;21:01;21:13;21:21
2;21:25;21:30;21:33;21:45;21:53
1;22:01;22:06;22:09;22:21;22:29
2;22:30;22:35;22:38;22:50;22:58
