Тролейбус №45;Четвер 28 травня 2026. Діє з 01.05.2026.
Станція метро «Васильківська» - Станція метро «Виставковий центр»
№ випуску;Станція метро «Васильківська»;ТРЕД № 1;Вулиця Докії Гуменної;Станція метро «Виставковий центр»
1;—;05:32;05:37;05:46
2;05:48;05:55;06:01;06:10
1;06:16;06:23;06:29;06:38
3;—;06:38;06:43;06:53
2;06:43;06:50;06:56;07:06
4;07:10;07:17;07:23;07:34
1;07:23;07:30;07:36;07:47
3;07:36;07:43;07:50;08:02
2;07:50;07:57;08:04;08:16
4;08:11;08:18;08:26;08:39
1;08:29;08:36;08:44;08:57
3;08:40;08:47;08:56;09:10
2;09:01;09:08;09:17;09:31
1;09:29;09:35;—;—
4;09:29;09:36;09:45;09:59
3;09:54;10:01;10:09;10:22
2;09:59;10:05;—;—
4;10:29;10:36;—;—
1;10:35;10:42;10:49;11:00
3;10:52;10:59;—;—
2;11:04;11:11;11:18;11:29
1;11:47;11:54;12:01;12:12
2;12:10;12:17;12:24;12:35
1;12:46;12:53;13:00;13:11
2;13:12;13:19;13:26;13:37
1;13:53;14:00;14:07;14:18
2;14:16;14:24;14:31;14:42
1;14:49;14:57;15:04;15:15
2;15:15;15:22;15:29;15:40
4;15:36;15:43;15:50;16:01
1;15:56;16:03;16:10;16:21
2;16:17;16:24;16:31;16:42
4;16:34;16:41;16:48;16:59
3;16:51;16:58;17:05;17:16
1;17:04;17:11;17:18;17:29
2;17:25;17:32;17:39;17:50
4;17:44;17:51;17:58;18:09
3;17:55;18:02;18:09;18:20
1;18:10;18:17;18:24;18:35
2;18:24;18:30;—;—
4;18:50;18:57;19:04;19:15
1;19:08;19:14;—;—
3;19:12;19:19;19:26;19:37
2;19:30;19:37;19:44;19:55
4;19:52;19:59;—;—
3;20:09;20:14;—;—
1;20:14;20:21;20:27;20:38
2;20:33;20:40;20:47;20:58
1;21:15;21:22;21:28;21:37
2;21:45;21:52;21:58;22:07
1;22:09;22:16;22:22;22:31
2;22:40;22:47;22:53;23:02
1;23:00;23:07;23:13;23:22
Станція метро «Виставковий центр» - Станція метро «Васильківська»
№ випуску;Станція метро «Виставковий центр»;Вулиця Докії Гуменної;ТРЕД № 1;Станція метро «Васильківська»
2;—;—;05:36;05:46
1;05:49;05:56;06:01;06:15
2;06:13;06:20;06:26;06:41
4;—;—;06:55;07:05
1;06:41;06:49;06:56;07:13
3;07:02;07:10;07:17;07:34
2;07:11;07:20;07:27;07:45
4;07:36;07:45;07:52;08:10
1;07:50;07:59;08:06;08:25
3;08:05;08:14;08:21;08:39
2;08:24;08:33;08:40;08:59
4;08:44;08:53;09:00;09:19
1;08:59;09:06;09:12;09:28
3;09:13;09:21;09:28;09:46
2;09:32;09:38;09:44;09:58
4;10:00;10:07;10:13;10:28
1;—;—;10:20;10:33
3;10:23;10:30;10:36;10:51
2;—;—;10:50;11:02
1;11:10;11:17;11:23;11:39
2;11:36;11:43;11:49;12:05
1;12:15;12:22;12:28;12:44
2;12:38;12:45;12:51;13:07
1;13:22;13:29;13:35;13:51
2;13:44;13:51;13:57;14:13
1;14:19;14:26;14:32;14:48
2;14:44;14:51;14:57;15:13
4;—;—;15:20;15:34
1;15:16;15:23;15:29;15:45
2;15:42;15:49;15:55;16:11
4;16:02;16:10;16:16;16:32
3;—;—;16:35;16:49
1;16:25;16:33;16:39;16:56
2;16:47;16:55;17:02;17:20
4;17:01;17:11;17:19;17:34
3;17:19;17:27;17:34;17:52
1;17:31;17:39;17:46;18:04
2;17:53;18:01;18:07;18:23
4;18:15;18:23;18:30;18:48
3;18:30;18:39;18:47;19:02
1;18:39;18:46;18:52;19:07
2;—;—;19:15;19:27
4;19:21;19:29;19:35;19:51
3;19:40;19:47;19:53;20:08
1;—;—;19:59;20:13
2;19:58;20:05;20:11;20:27
1;20:48;20:54;21:00;21:13
2;21:12;21:18;21:24;21:37
1;21:39;21:45;21:51;22:04
2;22:15;22:21;22:26;22:39
1;22:34;22:40;22:45;22:58
2;23:04;23:10;23:16;—
1;23:24;23:30;23:36;—
