Тролейбус №5;Четвер 28 травня 2026. Діє з 23.04.2026.
Вулиця Білицька - Станція метро «Площа Українських Героїв»
№ випуску;Вулиця Білицька;Вулиця Стеценка;Станція метро «Нивки»;Станція метро «Шулявська»;Палац урочистих подій;Станція метро «Площа Українських Героїв»
1;05:55;06:03;06:11;06:19;06:26;06:40
2;06:19;06:28;06:36;06:45;06:52;07:06
3;06:39;06:48;06:57;07:06;07:13;07:28
4;07:00;07:10;07:20;07:30;07:37;07:53
5;07:19;07:30;07:42;07:52;07:59;08:15
1;07:37;07:48;08:01;08:11;08:18;08:34
6;07:54;08:06;08:22;08:32;08:39;08:56
2;08:14;08:25;08:42;08:52;08:59;09:17
3;08:40;08:50;09:04;09:14;09:22;09:40
4;09:04;09:13;09:24;09:33;09:40;09:56
5;09:30;09:39;09:48;09:57;10:04;10:20
6;10:00;10:09;10:18;10:26;10:33;10:48
1;10:30;10:39;10:48;10:56;11:03;11:19
2;11:00;11:09;11:18;11:26;11:33;11:49
4;11:30;11:39;11:48;11:56;12:03;12:19
5;11:57;12:06;12:15;12:23;12:30;12:46
1;12:24;12:33;12:42;12:50;12:57;13:13
2;12:51;13:00;13:10;13:18;13:25;13:41
4;13:18;13:27;13:37;13:45;13:52;14:08
5;13:46;13:55;14:04;14:12;14:19;14:35
1;14:13;14:22;14:32;14:40;14:47;15:03
2;14:40;14:49;14:59;15:07;15:14;15:30
4;15:07;15:16;15:25;15:33;15:40;15:56
5;15:34;15:43;15:53;16:01;16:08;16:25
3;15:55;16:04;16:14;16:22;16:29;16:45
1;16:18;16:27;16:37;16:45;16:52;17:08
6;16:41;16:50;17:00;17:08;17:15;17:31
2;17:05;17:14;17:24;17:32;17:39;17:55
4;17:28;17:37;17:47;17:55;18:02;18:19
3;17:48;17:57;18:07;18:15;18:22;18:39
5;18:10;18:19;18:29;18:38;18:45;19:04
6;18:38;18:47;18:57;19:05;19:12;19:29
1;19:02;19:11;19:21;19:29;19:36;19:53
2;19:29;19:38;19:47;19:55;20:02;20:18
4;19:56;20:05;20:13;20:21;20:28;20:43
5;20:23;20:32;20:40;20:48;20:55;21:08
1;20:50;20:59;21:07;21:15;21:22;21:35
2;21:14;21:23;21:31;21:39;21:46;21:59
4;21:38;21:47;21:55;22:03;22:10;22:23
5;22:05;22:14;22:22;22:30;22:37;22:50
Станція метро «Площа Українських Героїв» - Вулиця Білицька
№ випуску;Станція метро «Площа Українських Героїв»;Палац урочистих подій;Станція метро «Шулявська»;Станція метро «Нивки»;Площа Валерія Марченка;Вулиця Білицька
1;—;—;—;05:37;05:45;05:53
2;—;—;—;06:01;06:09;06:17
3;—;—;—;06:20;06:29;06:36
4;—;—;—;06:42;06:50;06:58
5;—;—;—;07:01;07:09;07:17
1;06:42;06:57;07:04;07:13;07:22;07:31
6;—;—;—;07:34;07:43;07:51
2;07:09;07:24;07:31;07:41;07:51;08:01
3;07:32;07:47;07:54;08:04;08:15;08:26
4;07:57;08:12;08:19;08:28;08:38;08:47
5;08:19;08:34;08:41;08:50;09:00;09:09
1;08:38;08:53;09:00;09:08;09:19;09:28
6;09:00;09:15;09:22;09:32;09:42;09:52
2;09:21;09:37;09:44;09:53;10:03;10:12
3;09:45;10:01;10:08;10:17;10:26;10:35
4;09:58;10:15;10:22;10:31;10:41;10:51
5;10:24;10:42;10:50;10:59;11:09;11:19
6;10:52;11:09;11:17;11:27;11:36;11:45
1;11:23;11:39;11:47;11:57;12:07;12:17
2;11:53;12:09;12:17;12:27;12:37;12:47
4;12:23;12:38;12:46;12:56;13:05;13:15
5;12:50;13:05;13:13;13:23;13:32;13:42
1;13:17;13:32;13:40;13:50;13:59;14:09
2;13:45;14:00;14:09;14:18;14:27;14:37
4;14:12;14:27;14:36;14:45;14:54;15:04
5;14:39;14:54;15:03;15:12;15:21;15:31
3;—;—;—;15:33;15:42;15:52
1;15:07;15:22;15:30;15:40;15:49;15:59
2;15:34;15:49;15:57;16:07;16:16;16:26
6;—;—;—;16:17;16:27;16:37
4;15:59;16:14;16:22;16:32;16:42;16:53
5;16:29;16:45;16:53;17:03;17:13;17:23
3;16:49;17:06;17:14;17:24;17:35;17:46
1;17:12;17:30;17:39;17:49;18:01;18:12
6;17:35;17:53;18:02;18:12;18:24;18:35
2;17:59;18:18;18:27;18:37;18:49;18:59
4;18:23;18:41;18:50;19:00;19:12;19:22
3;18:43;18:59;19:08;19:17;19:26;19:35
5;19:07;19:23;19:31;19:40;19:50;20:00
6;19:32;19:48;19:56;20:05;20:14;20:23
1;19:56;20:12;20:20;20:29;20:38;20:47
2;20:21;20:35;20:42;20:51;21:00;21:09
4;20:46;21:00;21:07;21:16;21:25;21:35
5;21:11;21:25;21:32;21:41;21:50;22:00
1;21:38;21:52;21:59;22:07;22:15;22:24
2;22:01;22:15;22:22;22:30;22:38;22:47
4;22:26;22:39;22:46;22:54;23:02;23:10
5;22:52;23:05;—;—;—;—
