Тролейбус №50к;Четвер 28 травня 2026. Діє з 05.01.2026.
Вулиця Милославська - площа Дарницька
№ випуску;Вулиця Милославська;Вулиця Сержа Лифаря;Вулиця Сержа Лифаря;Вулиця Чорних Запорожців;площа Дарницька
4;—;—;—;05:45;05:58
6;—;—;—;06:07;06:20
1;06:00;06:08;06:08;06:22;06:36
2;06:15;06:23;06:23;06:37;06:52
3;06:28;06:36;06:36;06:51;07:06
4;06:45;06:53;06:53;07:08;07:23
5;07:00;07:08;07:08;07:23;07:38
6;07:13;07:21;07:21;07:36;07:51
1;07:27;07:36;07:36;07:51;08:06
2;07:42;07:51;07:51;08:06;08:21
3;07:57;08:06;08:06;08:21;08:36
4;08:12;08:21;08:21;08:36;08:51
5;08:28;08:37;08:37;08:52;09:07
6;08:46;08:55;08:55;09:10;09:25
1;09:20;09:29;09:29;09:44;09:59
3;09:23;09:32;10:28;10:43;10:58
2;10:00;10:09;10:09;10:24;10:39
5;10:44;10:53;10:53;11:08;11:23
1;11:08;11:17;11:17;11:32;11:47
2;11:31;11:40;11:40;11:55;12:10
3;11:54;12:03;12:03;12:18;12:33
5;12:16;12:25;12:25;12:40;12:55
1;12:38;12:46;12:46;13:01;13:16
2;13:01;13:09;13:09;13:24;13:39
3;13:24;13:33;13:33;13:48;14:03
5;13:46;13:55;13:55;14:10;14:25
1;14:06;14:15;14:16;14:31;14:46
2;14:29;14:38;14:39;14:54;15:09
3;14:52;15:01;15:02;15:17;15:32
5;15:15;15:24;15:25;15:40;15:55
1;15:37;15:46;15:46;16:01;16:16
2;16:00;16:09;16:09;16:24;16:39
3;16:22;16:30;16:30;16:45;17:00
4;—;—;—;16:57;17:12
5;16:46;16:54;16:54;17:09;17:24
6;—;—;—;17:29;17:44
1;17:21;17:29;17:29;17:44;17:59
2;17:40;17:49;17:49;18:04;18:19
3;18:01;18:09;18:09;18:24;18:39
5;18:12;18:20;19:05;19:20;19:35
4;18:12;18:21;18:21;18:36;18:51
6;18:34;18:43;18:43;18:58;19:13
1;18:47;18:56;19:24;19:39;19:53
2;19:07;19:15;19:45;20:00;20:15
3;19:27;19:36;20:06;20:21;20:36
5;20:22;20:30;20:30;20:44;20:58
1;20:43;20:51;20:51;21:05;21:19
2;21:04;21:12;21:12;21:26;21:40
3;21:25;21:33;21:33;21:47;22:01
5;21:46;21:54;21:54;22:08;22:22
площа Дарницька - Вулиця Милославська
№ випуску;площа Дарницька;Дарницький універмаг;Вулиця Чорних Запорожців;Поліклініка;Вулиця Милославська
4;06:00;06:04;06:19;06:35;06:42
6;06:22;06:26;06:42;06:59;07:06
1;06:38;06:42;06:57;07:14;07:21
2;06:54;06:58;07:14;07:31;07:38
3;07:08;07:12;07:28;07:45;07:52
4;07:25;07:29;07:45;08:02;08:09
5;07:40;07:44;08:00;08:17;08:24
6;07:53;07:57;08:13;08:29;08:36
1;08:08;08:12;08:28;08:45;08:52
2;08:23;08:27;08:43;08:59;09:06
3;08:38;08:42;08:58;09:14;09:21
4;08:53;08:57;—;—;—
5;09:09;09:13;09:29;09:45;09:52
6;09:27;09:31;—;—;—
1;10:01;10:05;10:21;10:38;10:45
2;10:41;10:45;11:01;11:17;11:24
3;11:00;11:04;11:20;11:37;11:44
5;11:25;11:29;11:45;12:02;12:09
1;11:49;11:53;12:09;12:26;12:33
2;12:12;12:16;12:32;12:49;12:56
3;12:35;12:39;12:55;13:12;13:19
5;12:57;13:01;13:17;13:34;13:41
1;13:18;13:22;13:38;13:55;14:02
2;13:41;13:45;14:01;14:18;14:25
3;14:05;14:09;14:25;14:42;14:49
5;14:27;14:31;14:47;15:04;15:11
1;14:48;14:52;15:08;15:25;15:32
2;15:11;15:15;15:31;15:48;15:55
3;15:34;15:38;15:54;16:11;16:18
5;15:57;16:01;16:17;16:33;16:40
1;16:18;16:22;16:38;16:54;17:01
2;16:41;16:45;17:01;17:18;17:25
3;17:02;17:06;17:22;17:38;17:45
4;17:14;17:18;17:34;17:51;17:58
5;17:26;17:30;17:46;18:03;18:10
6;17:46;17:50;18:06;18:23;18:30
1;18:01;18:05;18:21;18:38;18:45
2;18:21;18:25;18:41;18:58;19:05
3;18:41;18:45;19:01;19:18;19:25
4;18:54;18:58;19:14;19:31;19:38
6;19:15;19:19;19:35;19:52;19:59
5;19:37;19:41;19:57;20:14;20:20
1;19:55;19:59;20:15;20:31;20:37
2;20:17;20:21;20:36;20:52;20:59
3;20:38;20:42;20:57;21:13;21:20
5;21:00;21:04;21:19;21:35;21:42
1;21:21;21:25;21:40;21:56;22:02
2;21:42;21:46;22:01;22:17;22:23
3;22:04;22:08;22:23;22:39;22:45
5;22:25;22:29;22:44;23:00;23:06
