Тролейбус №7;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Чорнобильська - Станція метро «Площа Українських Героїв»
№ випуску;Вулиця Чорнобильська;Станція метро «Святошин»;Станція метро «Шулявська»;Палац урочистих подій;Станція метро «Площа Українських Героїв»
1;06:01;06:15;06:26;06:33;06:47
2;06:25;06:39;06:51;06:58;07:12
3;06:46;07:01;07:14;07:21;07:36
4;07:08;07:24;07:37;07:44;08:00
5;07:27;07:45;07:58;08:05;08:21
1;07:45;08:04;08:17;08:24;08:41
2;08:05;08:24;08:37;08:44;09:02
3;08:35;08:53;09:06;09:13;09:31
5;09:11;09:28;09:40;09:47;10:02
4;09:38;09:54;10:06;10:13;10:29
1;10:10;10:24;10:35;10:42;10:57
2;10:41;10:54;11:05;11:12;11:28
3;11:10;11:24;11:35;11:42;11:58
4;11:41;11:54;12:05;12:12;12:28
1;12:07;12:20;12:31;12:38;12:54
2;12:34;12:48;12:59;13:06;13:22
3;13:01;13:15;13:26;13:33;13:49
4;13:28;13:42;13:53;14:00;14:16
1;13:55;14:09;14:21;14:28;14:43
2;14:23;14:37;14:48;14:55;15:11
3;14:49;15:03;15:14;15:21;15:37
4;15:17;15:31;15:42;15:49;16:05
1;15:42;15:56;16:07;16:14;16:31
2;16:05;16:18;16:29;16:36;16:52
5;16:27;16:41;16:52;16:59;17:15
3;17:00;17:14;17:25;17:32;17:48
4;17:25;17:39;17:50;17:57;18:13
1;17:58;18:12;18:23;18:30;18:47
5;18:20;18:34;18:45;18:52;19:10
2;18:47;19:01;19:12;19:19;19:36
3;19:12;19:26;19:37;19:44;20:01
4;19:38;19:52;20:03;20:10;20:26
5;20:03;20:16;20:27;20:34;—
1;20:04;20:18;20:29;20:36;20:51
2;20:31;20:45;20:56;21:03;21:16
3;20:57;21:11;21:22;21:29;21:42
4;21:19;21:33;21:44;21:51;22:04
1;21:45;21:59;22:10;22:17;22:30
2;22:10;22:23;22:34;22:41;—
3;22:32;22:45;22:56;23:03;—
4;22:52;23:05;23:15;23:21;—
Станція метро «Площа Українських Героїв» - Вулиця Чорнобильська
№ випуску;Станція метро «Площа Українських Героїв»;Палац урочистих подій;Станція метро «Шулявська»;Станція метро «Святошин»;Вулиця Чорнобильська
1;—;—;—;05:45;05:58
2;—;—;—;06:09;06:22
3;—;—;—;06:30;06:43
4;—;—;—;06:52;07:05
5;—;—;—;07:11;07:24
1;06:49;07:04;07:11;07:23;07:37
2;07:16;07:31;07:38;07:50;08:03
3;07:40;07:55;08:02;08:14;08:28
4;08:04;08:19;08:26;08:38;08:52
5;08:24;08:38;08:45;08:56;09:09
1;08:45;09:00;09:07;09:19;09:33
2;09:06;09:21;09:28;09:39;09:52
3;09:35;09:52;09:59;10:11;10:24
5;10:04;10:20;—;—;—
4;10:32;10:49;10:56;11:08;11:21
1;11:01;11:17;11:25;11:38;11:51
2;11:32;11:48;11:56;12:09;12:23
3;12:02;12:18;12:27;12:40;12:54
4;12:31;12:46;12:55;13:08;13:22
1;12:58;13:13;13:21;13:34;13:48
2;13:26;13:41;13:50;14:02;14:16
3;13:53;14:08;14:17;14:29;14:43
4;14:20;14:35;14:44;14:56;15:10
1;14:47;15:02;15:10;15:23;15:37
2;15:14;15:29;15:37;15:49;16:02
5;—;—;—;16:11;16:24
3;15:41;15:57;16:05;16:18;16:32
4;16:08;16:24;16:32;16:45;16:58
1;16:35;16:51;16:59;17:12;17:25
2;16:56;17:13;17:22;17:35;17:48
5;17:19;17:37;17:46;17:59;18:13
3;17:52;18:10;18:19;18:32;18:45
4;18:17;18:36;18:45;18:58;19:11
1;18:51;19:07;19:16;19:28;19:41
5;19:13;19:28;19:36;19:48;20:01
2;19:39;19:55;20:03;20:15;20:28
3;20:04;20:19;20:27;20:39;20:52
4;20:29;20:43;20:50;21:02;21:15
1;20:54;21:08;21:15;21:27;21:40
2;21:19;21:33;21:40;21:52;22:05
3;21:45;21:59;22:06;22:16;22:29
4;22:07;22:20;22:27;22:37;22:50
1;22:33;22:46;—;—;—
