Тролейбус №9к;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Кадетський Гай - Станція метро «Палац спорту»
№ випуску;Вулиця Кадетський Гай;Вулиця Смілянська;Вулиця Карела Чапека;Південний вокзал;Вулиця Гетьмана Скоропадського;Станція метро «Палац спорту»
1;06:00;06:07;06:15;06:19;06:25;06:37
2;06:30;06:37;06:45;06:49;06:55;07:07
3;07:00;07:07;07:15;07:19;07:25;07:37
1;07:24;07:31;07:39;07:43;07:49;08:01
2;07:50;07:57;08:05;08:09;08:15;08:27
3;08:20;08:27;08:35;08:39;08:45;08:57
1;09:00;09:07;09:15;09:19;09:25;09:37
3;09:40;09:47;09:55;09:59;10:05;10:17
2;10:10;10:17;10:25;10:29;10:35;10:47
1;10:50;10:57;11:05;11:09;11:15;11:27
2;11:30;11:37;11:45;11:49;11:55;12:07
1;12:10;12:17;12:25;12:29;12:35;12:47
2;12:50;12:57;13:05;13:09;13:15;13:27
1;13:30;13:37;13:45;13:49;13:55;14:07
2;14:10;14:17;14:25;14:29;14:35;14:47
1;14:50;14:57;15:05;15:09;15:15;15:27
2;15:30;15:37;15:45;15:49;15:55;16:07
1;16:15;16:22;16:30;16:34;16:40;16:52
2;16:50;16:57;17:05;17:09;17:15;17:27
3;17:10;17:17;17:25;17:29;17:35;17:47
1;17:50;17:57;18:05;18:09;18:15;18:27
3;18:30;18:37;18:45;18:49;18:55;19:07
2;19:00;19:07;19:15;19:19;19:25;19:37
1;19:40;19:47;19:55;19:59;20:05;20:17
2;20:20;20:27;20:35;20:39;20:45;20:57
1;21:00;21:07;21:15;21:19;21:25;21:37
2;21:40;21:47;21:55;21:59;22:05;22:17
1;22:20;22:27;22:35;22:39;22:45;22:57
Станція метро «Палац спорту» - Вулиця Кадетський Гай
№ випуску;Станція метро «Палац спорту»;Вулиця Паньківська;Південний вокзал;Вулиця Генадія Воробйова;Вулиця Смілянська;Вулиця Кадетський Гай
1;06:40;06:47;06:54;07:02;07:09;07:16
2;07:10;07:17;07:24;07:32;07:39;07:46
3;07:40;07:47;07:54;08:02;08:09;08:16
1;08:04;08:11;08:18;08:26;08:33;08:40
2;08:30;08:37;08:44;08:52;08:59;09:06
3;09:00;09:07;09:14;09:22;09:29;09:36
1;09:40;09:47;09:54;10:02;10:09;10:16
3;10:20;10:27;10:34;10:42;10:49;10:56
2;10:50;10:57;11:04;11:12;11:19;11:26
1;11:30;11:37;11:44;11:52;11:59;12:06
2;12:10;12:17;12:24;12:32;12:39;12:46
1;12:50;12:57;13:04;13:12;13:19;13:26
2;13:30;13:37;13:44;13:52;13:59;14:06
1;14:10;14:17;14:24;14:32;14:39;14:46
2;14:50;14:57;15:04;15:12;15:19;15:26
1;15:30;15:37;15:44;15:52;15:59;16:06
2;16:10;16:17;16:24;16:32;16:39;16:46
1;16:55;17:02;17:10;17:18;17:25;17:32
2;17:30;17:37;17:44;17:52;17:59;18:06
3;17:50;17:57;18:04;18:12;18:19;18:26
1;18:30;18:37;18:44;18:52;18:59;19:06
3;19:10;19:17;19:24;19:32;19:39;19:46
2;19:40;19:47;19:54;20:02;20:09;20:16
1;20:20;20:27;20:34;20:42;20:49;20:56
2;21:00;21:07;21:14;21:22;21:29;21:36
1;21:40;21:47;21:54;22:02;22:09;22:16
2;22:20;22:27;22:34;22:42;22:49;22:56
1;23:00;23:07;23:14;23:22;23:29;23:36
